T 	12	13	14	15	16	17	
90	16+	18+	16+	18+	16+	18+	
89	15	17	•	17	•	•	
88	•	•	•	•	•	•	
87	•	•	15	•	15	17	
86	14	16	•	16	•	•	
85	•	•	•	•	•	16	
84	•	•	14	15	14	•	
83	13	15	•	•	•	•	
82	•	•	•	•	•	15	
81	•	•	13	14	13	•	
80	12	14	•	•	•	•	
79	•	•	•	•	•	14	
78	•	13	12	13	12	•	
77	11	•	•	•	•	13	
76	•	•	•	•	•	•	
75	•	12	•	12	11	•	
74	10	•	11	•	•	12	
73	•	•	•	11	•	•	
72	•	11	•	•	10	11	
71	•	•	10	•	•	•	
70	9	•	•	10	•	•	
69	•	10	•	•	9	10	
68	•	•	9	•	•	•	
67	8	•	•	9	•	•	
66	•	9	•	•	8	9	
65	•	•	8	8	•	•	
64	7	8	•	•	•	8	
63	•	•	•	•	7	•	
62	•	•	7	7	•	•	
61	6	7	•	•	•	7	
60	•	•	•	•	6	•	
59	•	•	6	6	•	•	
58	5	6	•	•	5	6	
57	•	•	•	•	•	•	
56	•	•	5	5	•	5	
55	4	5	•	•	4	•	
54	•	•	•	4	•	•	
53	•	4	4	•	•	4	
52	3	•	•	•	3	•	
51	•	•	•	3	•	•	
50	•	3	3	•	•	3	
49	2	•	•	•	2	•	
48	•	•	•	2	•	2	
47	•	2	2	•	•	•	
46	1	•	•	•	1	•	
45	•	•	•	1	•	1	
44	•	1	1	•	•	•	
43	0	•	•	0	0	0	
42	•	•	•	•	•	•	
41	•	0	0	•	•	•	
40	•	•	•	•	•	•
