T	12	13	14	15	16	17	
90	23+	22+	22+	16+	17+	17+	
89	•	21	21	•	•	16	
88	22	•	•	•	•	•	
87	•	•	•	15	16	•	
86	21	20	20	•	•	15	
85	•	•	•	•	•	•	
84	•	19	19	14	15	•	
83	20	•	•	•	•	14	
82	•	18	18	•	•	•	
81	19	•	•	13	14	•	
80	•	•	•	•	•	13	
79	18	17	17	•	•	•	
78	•	•	•	12	13	•	
77	17	16	16	•	•	12	
76	•	•	•	•	12	•	
75	16	15	15	11	•	•	
74	•	•	•	•	•	11	
73	15	14	14	•	11	•	
72	•	•	•	10	•	•	
71	14	•	•	•	•	10	
70	•	13	13	•	10	•	
69	13	•	•	9	•	9	
68	•	12	12	•	•	•	
67	12	•	•	•	9	•	
66	•	11	11	8	•	8	
65	•	•	•	•	•	•	
64	11	•	•	•	8	•	
63	•	10	10	7	•	7	
62	10	•	•	•	•	•	
61	•	9	9	•	7	•	
60	9	•	•	6	•	6	
59	•	8	8	•	6	•	
58	8	•	•	•	•	•	
57	•	•	•	5	•	5	
56	7	7	7	•	5	•	
55	•	•	•	•	•	•	
54	6	6	6	4	•	4	
53	•	•	•	•	4	•	
52	5	5	5	•	•	•	
51	•	•	•	3	•	3	
50	4	4	4	•	3	•	
49	•	•	•	•	•	•	
48	3	•	•	•	•	2	
47	•	3	3	2	2	•	
46	•	•	•	•	•	•	
45	2	2	2	•	1	1	
44	•	•	•	1	•	•	
43	1	1	1	•	•	0	
42	•	•	•	•	0	•	
41	0	•	•	0	•	•	
40	•	0	0	•	•	•	
