T	6	7	8	9	10	11
90	27+	30+	28+	30+	23+	20+
89	•	•	•	29	22	•
88	26	29	27	28	•	•
87	•	•	•	•	21	19
86	25	28	26	27	•	•
85	•	27	•	•	20	•
84	24	•	25	26	•	18
83	•	26	•	•	•	•
82	23	•	24	25	19	17
81	•	25	•	24	•	•
80	22	•	23	•	18	•
79	•	24	22	23	•	16
78	21	23	•	•	17	•
77	•	•	21	22	•	15
76	20	22	•	•	16	•
75	•	•	20	21	•	•
74	19	21	•	20	•	14
73	•	•	19	•	15	•
72	18	20	•	19	•	13
71	•	•	18	•	14	•
70	17	19	17	18	•	•
69	•	18	•	•	13	12
68	16	•	16	17	•	•
67	•	17	•	•	•	11
66	15	•	15	16	12	•
65	•	16	•	15	•	•
64	14	•	14	•	11	10
63	•	15	•	14	•	•
62	13	14	13	•	10	9
61	•	•	12	13	•	•
60	12	13	•	•	9	•
59	•	•	11	12	•	8
58	•	12	•	11	•	•
57	11	•	10	•	8	7
56	•	11	•	10	•	•
55	10	•	9	•	7	•
54	•	10	•	9	•	6
53	9	9	8	•	6	•
52	•	•	7	8	•	•
51	8	8	•	7	•	5
50	•	•	6	•	5	•
49	7	7	•	6	•	4
48	•	•	5	•	4	•
47	6	6	•	5	•	•
46	•	5	4	•	3	3
45	5	•	•	4	•	•
44	•	4	3	•	2	2
43	4	•	•	3	•	•
42	•	3	2	2	•	•
41	3	•	1	•	1	1
40	0,1,2	0,1,2	0	0,1	0	0
