T	12	13	14	15	16	17	
90	31+	29+	29+	24+	23+	25+	
89	30	28	28	23	•	•	
88	•	•	•	•	22	24	
87	29	27	27	22	•	•	
86	28	•	•	•	21	23	
85	•	26	26	21	•	•	
84	27	25	•	•	•	22	
83	•	•	25	•	20	•	
82	26	24	•	20	•	21	
81	•	•	24	•	19	•	
80	25	23	•	19	•	20	
79	24	•	23	•	18	•	
78	•	22	22	18	•	19	
77	23	•	•	•	•	•	
76	•	21	21	17	17	18	
75	22	•	•	•	•	•	
74	21	20	20	•	16	17	
73	•	•	•	16	•	•	
72	20	19	19	•	•	16	
71	•	18	•	15	15	•	
70	19	•	18	•	•	15	
69	18	17	•	14	14	•	
68	•	•	17	•	•	14	
67	17	16	16	•	13	•	
66	•	•	•	13	•	13	
65	16	15	15	•	•	•	
64	15	•	•	12	12	12	
63	•	14	14	•	•	•	
62	14	•	•	11	11	11	
61	•	13	13	•	•	•	
60	13	•	•	•	10	10	
59	•	12	12	10	•	•	
58	12	•	•	•	•	9	
57	11	11	11	9	9	•	
56	•	10	10	•	•	8	
55	10	•	•	8	8	•	
54	•	9	9	•	•	7	
53	9	•	•	7	7	•	
52	8	8	8	•	•	6	
51	•	•	•	•	•	•	
50	7	7	7	6	6	5	
49	•	•	•	•	•	•	
48	6	6	6	5	5	•	
47	5	•	•	•	•	4	
46	•	5	5	4	•	•	
45	4	•	4	•	4	3	
44	•	4	•	•	•	•	
43	3	3	3	3	3	2	
42	2	•	•	•	•	•	
41	•	2	2	2	2	1	
40	0-1	0-1	0-1	0-1	0-1	0	
