T	6	7	8	9	10	11
90	23+	27+	31+	24+	26+	27+
89	22	26	30	23	25	26
88	•	•	•	•	•	•
87	21	25	29	•	24	25
86	•	•	28	22	•	•
85	20	24	•	•	23	24
84	•	•	27	21	•	•
83	•	23	•	•	22	23
82	19	•	26	20	•	•
81	•	22	25	•	21	22
80	18	•	•	•	•	•
79	•	21	24	19	•	21
78	•	•	23	•	20	•
77	17	20	•	18	•	20
76	•	•	22	•	19	•
75	16	19	•	17	•	19
74	•	•	21	•	18	•
73	•	18	20	16	•	18
72	15	•	•	•	17	•
71	•	17	19	•	•	17
70	14	•	•	15	16	•
69	•	16	18	•	•	•
68	13	•	17	14	15	16
67	•	15	•	•	•	•
66	•	•	16	13	14	15
65	12	14	15	•	•	•
64	•	•	•	•	13	14
63	11	13	14	12	•	•
62	•	•	•	•	12	13
61	•	12	13	11	•	•
60	10	•	12	•	•	12
59	•	11	•	10	11	•
58	9	10	11	•	•	11
57	•	•	•	•	10	•
56	•	9	10	9	•	10
55	8	•	9	•	9	•
54	•	8	•	8	•	9
53	7	•	8	•	8	•
52	•	7	7	7	•	8
51	6	•	•	•	7	•
50	•	6	6	•	•	7
49	•	•	•	6	6	•
48	5	5	5	•	•	6
47	•	•	4	5	5	•
46	4	4	•	•	•	5
45	•	•	3	4	4	•
44	•	3	•	•	•	4
43	3	•	2	•	3	•
42	•	2	1	3	•	•
41	2	•	•	•	2	3
40	0,1	0,1	0	0,1,2	0,1	0,1,2
