T 	12	13	14	15	16	17	
90	28+	28+	28+	28+	28+	28+	
89	•	•	•	•	•	•	
88	•	•	•	27	•	•	
87	•	•	•	•	•	•	
86	•	27	•	26	27	27	
85	•	•	•	•	•	•	
84	•	26	27	25	26	26	
83	•	•	•	•	•	•	
82	•	25	26	24	25	25	
81	•	•	•	•	24	24	
80	27	24	25	23	•	•	
79	•	23	•	•	23	23	
78	26	•	24	22	•	•	
77	25	22	23	•	22	22	
76	•	•	•	21	•	•	
75	24	21	22	•	21	21	
74	•	•	•	20	•	•	
73	23	20	21	•	20	20	
72	22	•	•	19	•	•	
71	•	19	20	•	19	19	
70	21	•	•	18	•	•	
69	20	18	19	17	18	18	
68	•	•	18	•	17	17	
67	19	17	•	16	•	•	
66	18	•	17	•	16	16	
65	•	16	•	15	•	•	
64	17	15	16	•	15	15	
63	•	•	•	14	•	•	
62	16	14	15	•	14	14	
61	15	•	•	13	•	•	
60	•	13	14	•	13	13	
59	14	•	13	12	•	•	
58	13	12	•	•	12	12	
57	•	•	12	11	11	11	
56	12	11	•	•	•	•	
55	•	•	11	10	10	10	
54	11	10	•	•	•	•	
53	10	•	10	9	9	9	
52	•	9	•	•	•	•	
51	9	•	9	8	8	8	
50	8	8	8	•	•	•	
49	•	7	•	7	7	7	
48	7	•	7	6	•	•	
47	6	6	•	•	6	6	
46	•	•	6	5	•	•	
45	5	5	•	•	5	5	
44	•	•	5	4	4	4	
43	4	4	•	•	•	•	
42	3	•	4	3	3	3	
41	•	3	3	•	•	•	
40	0-2	0-2	0-2	0-2	0-2	0-2	
