T	6	7	8	9	10	11
90	25+	26+	26+	26+	28+	27
89	24	25	•	•	27	26
88	•	•	25	25	•	•
87	•	24	•	•	26	25
86	23	•	24	24	•	•
85	•	23	•	•	25	24
84	22	•	23	23	•	•
83	•	22	•	•	24	•
82	21	•	22	22	•	23
81	•	•	•	•	23	•
80	20	21	21	21	•	22
79	•	•	•	•	22	•
78	•	20	•	20	•	21
77	19	•	20	•	21	•
76	•	19	•	•	•	20
75	18	•	19	19	20	•
74	•	18	•	•	•	19
73	17	•	18	18	19	•
72	•	17	•	•	•	•
71	16	•	17	17	18	18
70	•	•	•	•	•	•
69	15	16	16	16	17	17
68	•	•	•	•	•	•
67	•	15	15	15	16	16
66	14	•	•	•	•	•
65	•	14	14	14	15	15
64	13	•	•	•	•	•
63	•	13	13	13	14	14
62	12	•	•	•	•	•
61	•	12	12	•	13	•
60	11	•	•	12	•	13
59	•	•	11	•	12	•
58	10	11	•	11	•	12
57	•	•	10	•	11	•
56	•	10	•	10	•	11
55	9	•	9	•	10	•
54	•	9	•	9	•	10
53	8	•	8	•	9	•
52	•	8	•	8	•	9
51	7	•	7	•	8	•
50	•	7	•	7	•	•
49	6	•	•	•	7	8
48	•	6	6	6	•	•
47	5	•	•	•	6	7
46	•	•	5	•	•	•
45	•	5	•	5	5	6
44	4	•	4	•	•	•
43	•	4	•	4	4	5
42	3	•	3	•	•	•
41	•	3	•	3	3	4
40	0,1,2	0,1,2	0,1,2	0,1,2	0,1,2	0,1,2,3
