T	12	13	14	15	16	17	
90	29+	28+	27+	22+	26+	24+	
89	28	•	•	•	25	23	
88	•	27	26	21	•	•	
87	27	•	•	•	24	22	
86	•	26	25	20	•	•	
85	26	25	•	•	23	•	
84	•	•	24	•	•	21	
83	25	24	•	19	22	•	
82	•	•	23	•	•	20	
81	24	23	•	18	21	•	
80	23	•	22	•	•	19	
79	•	22	•	17	20	•	
78	22	•	21	•	•	18	
77	•	21	•	•	19	•	
76	21	•	20	16	•	17	
75	•	20	•	•	18	•	
74	20	•	19	15	•	16	
73	•	19	•	•	17	•	
72	19	•	18	•	•	15	
71	18	18	•	14	16	•	
70	•	•	17	•	•	14	
69	17	17	16	13	15	•	
68	•	16	•	•	•	13	
67	16	•	15	•	14	•	
66	•	15	•	12	•	•	
65	15	•	14	•	13	12	
64	14	14	•	11	•	•	
63	•	•	13	•	12	11	
62	13	13	•	10	•	•	
61	•	•	12	•	11	10	
60	12	12	•	•	•	•	
59	•	•	11	9	10	9	
58	11	11	•	•	•	•	
57	•	•	10	8	9	8	
56	10	10	•	•	•	•	
55	9	•	9	•	8	7	
54	•	9	•	7	•	•	
53	8	•	8	•	7	6	
52	•	8	•	6	•	•	
51	7	7	7	•	6	5	
50	•	•	•	5	•	•	
49	6	6	6	•	5	•	
48	•	•	•	•	•	4	
47	5	5	5	4	4	•	
46	4	•	4	•	•	3	
45	•	4	•	3	3	•	
44	3	•	3	•	•	2	
43	•	3	•	•	2	•	
42	2	•	2	2	•	1	
41	•	2	•	•	1	•	
40	0-1	0-1	0-1	0-1	0	0	
