T	6	7	8	9	10	11
90	26+	23+	22+	22+	21+	22+
89	25	•	21	21	20	•
88	•	22	•	•	•	21
87	24	•	•	20	•	•
86	•	21	20	•	19	20
85	23	•	•	19	•	•
84	•	•	19	•	18	19
83	22	20	•	•	•	•
82	•	•	18	18	17	•
81	21	19	•	•	•	18
80	•	•	•	17	•	•
79	20	18	17	•	16	17
78	•	•	•	16	•	•
77	19	17	16	•	15	16
76	•	•	•	•	•	•
75	18	•	15	15	•	•
74	•	16	•	•	14	15
73	17	•	•	14	•	•
72	•	15	14	•	13	14
71	16	•	•	13	•	•
70	•	14	13	•	•	13
69	15	•	•	•	12	•
68	•	•	12	12	•	•
67	14	13	•	•	11	12
66	•	•	•	11	•	•
65	13	12	11	•	•	11
64	•	•	•	10	10	•
63	12	11	10	•	•	10
62	•	•	•	•	9	•
61	11	10	•	9	•	•
60	•	•	9	•	8	9
59	10	•	•	8	•	•
58	•	9	8	•	•	8
57	9	•	•	7	7	•
56	•	8	7	•	•	7
55	•	•	•	•	6	•
54	8	7	•	6	•	6
53	•	•	6	•	•	•
52	7	•	•	5	5	•
51	•	6	5	•	•	5
50	6	•	•	•	4	•
49	•	5	4	4	•	4
48	5	•	•	•	•	•
47	•	4	•	3	3	3
46	4	•	3	•	•	•
45	•	3	•	2	2	•
44	3	•	2	•	•	2
43	•	•	•	•	•	•
42	2	2	1	1	1	1
41	•	•	•	•	•	•
40	0,1	0,1	0	0	0	0
