T 	6	7	8	9	10	11	
90	25+	26+	27+	25+	19+	19+	
89	24	25	26	24	•	•	
88	•	•	•	•	18	18	
87	23	24	25	23	•	•	
86	•	•	•	•	•	•	
85	•	23	24	22	17	17	
84	22	•	•	•	•	•	
83	•	22	23	21	•	•	
82	21	•	•	•	16	16	
81	•	21	22	20	•	•	
80	20	•	•	•	15	15	
79	•	20	21	19	•	•	
78	19	•	20	•	•	•	
77	•	19	•	18	14	14	
76	18	•	19	•	•	•	
75	•	18	•	17	•	•	
74	17	•	18	•	13	13	
73	•	17	•	16	•	•	
72	•	•	17	•	12	12	
71	16	16	•	15	•	•	
70	•	•	16	•	•	•	
69	15	15	•	•	11	11	
68	•	•	15	14	•	•	
67	14	14	•	•	•	•	
66	•	•	14	13	10	10	
65	13	13	•	•	•	•	
64	•	•	13	12	•	9	
63	12	12	•	•	9	•	
62	•	•	12	11	•	•	
61	11	11	•	•	8	8	
60	•	•	11	10	•	•	
59	•	10	•	•	•	7	
58	10	•	10	9	7	•	
57	•	9	•	•	•	•	
56	9	•	9	8	•	6	
55	•	8	•	•	6	•	
54	8	•	8	7	•	•	
53	•	7	•	•	5	5	
52	7	•	7	6	•	•	
51	•	6	•	•	•	4	
50	6	•	6	5	4	•	
49	•	5	•	•	•	•	
48	•	•	5	4	•	3	
47	5	4	•	•	3	•	
46	•	•	4	•	•	•	
45	4	3	•	3	2	2	
44	•	•	3	•	•	•	
43	3	2	•	2	•	1	
42	•	•	2	•	1	•	
41	2	1	•	1	•	•	
40	0-1	0	0-1	0	0	0	
