T 	6	7	8	9	10	11	
90	21+	23+	23+	24+	23+	21+	
89	20	22	•	23	•	20	
88	•	•	22	•	22	•	
87	•	21	•	22	•	•	
86	19	•	21	•	21	19	
85	•	•	•	21	•	•	
84	18	20	20	•	20	•	
83	•	•	•	20	•	18	
82	•	19	•	•	19	•	
81	17	•	19	•	•	17	
80	•	18	•	19	•	•	
79	16	•	18	•	18	•	
78	•	17	•	18	•	16	
77	•	•	17	•	17	•	
76	15	•	•	17	•	15	
75	•	16	16	•	16	•	
74	•	•	•	16	•	•	
73	14	15	•	•	•	14	
72	•	•	15	•	15	•	
71	13	14	•	15	•	•	
70	•	•	14	•	14	13	
69	•	13	•	14	•	•	
68	12	•	13	•	13	12	
67	•	•	•	13	•	•	
66	11	12	12	•	12	•	
65	•	•	•	12	•	11	
64	•	11	•	•	•	•	
63	10	•	11	•	11	10	
62	•	10	•	11	•	•	
61	•	•	10	•	10	•	
60	9	•	•	10	•	9	
59	•	9	9	•	9	•	
58	8	•	•	9	•	•	
57	•	8	8	•	•	8	
56	•	•	•	8	8	•	
55	7	7	•	•	•	7	
54	•	•	7	•	7	•	
53	6	6	•	7	•	•	
52	•	•	6	•	6	6	
51	•	•	•	6	•	•	
50	5	5	5	•	•	•	
49	•	•	•	5	5	5	
48	•	4	4	•	•	•	
47	4	•	•	4	4	4	
46	•	3	•	•	•	•	
45	3	•	3	3	3	•	
44	•	•	•	•	•	3	
43	•	2	2	•	2	•	
42	2	•	•	2	•	2	
41	•	1	1	•	•	•	
40	0-1	0	0	0-1	0-1	0-1	
