T 	12	13	14	15	16	17	
90	27	24+	27	23+	28+	28+	
89	26	•	•	•	•	•	
88	•	23	26	22	•	•	
87	25	•	•	•	•	•	
86	•	22	25	•	27	•	
85	24	•	24	21	•	•	
84	•	•	•	•	26	27	
83	23	21	23	20	25	•	
82	•	•	•	•	•	26	
81	22	20	22	19	24	25	
80	•	•	•	•	•	•	
79	21	19	21	18	23	24	
78	•	•	•	•	22	•	
77	20	18	20	•	•	23	
76	•	•	•	17	21	22	
75	19	17	19	•	•	•	
74	•	•	•	16	20	21	
73	18	16	18	•	19	•	
72	•	•	•	15	•	20	
71	17	•	17	•	18	19	
70	•	15	•	•	•	•	
69	16	•	16	14	17	18	
68	•	14	•	•	•	•	
67	15	•	15	13	16	17	
66	•	13	•	•	15	16	
65	14	•	14	12	•	•	
64	•	12	•	•	14	15	
63	13	•	13	11	•	•	
62	•	11	•	•	13	14	
61	12	•	12	•	12	13	
60	•	•	11	10	•	•	
59	11	10	•	•	11	12	
58	•	•	10	9	•	•	
57	10	9	•	•	10	11	
56	•	•	9	8	9	10	
55	9	8	•	•	•	•	
54	•	•	8	7	8	9	
53	8	7	•	•	•	•	
52	•	•	7	•	7	8	
51	7	6	•	6	6	7	
50	•	•	6	•	•	•	
49	6	•	•	5	5	6	
48	•	5	5	•	•	5	
47	5	•	•	4	4	•	
46	•	4	4	•	3	4	
45	4	•	•	3	•	•	
44	3	3	3	•	2	3	
43	•	•	•	•	•	2	
42	2	2	2	2	1	•	
41	•	•	•	•	0	1	
40	0-1	0-1	0-1	0-1	•	0	
