T 	6	7	8	9	10	11	
90	29+	30+	31+	29+	23+	24+	
89	•	•	•	28	22	23	
88	28	29	30	•	•	•	
87	27	•	29	27	21	22	
86	•	28	•	•	•	•	
85	26	27	28	26	20	21	
84	•	•	•	•	•	•	
83	25	26	27	25	•	20	
82	•	•	26	24	19	•	
81	24	25	•	•	•	•	
80	•	24	25	23	18	19	
79	23	•	•	•	•	•	
78	•	23	24	22	17	18	
77	22	•	23	•	•	•	
76	21	22	•	21	16	17	
75	•	21	22	20	•	•	
74	20	•	•	•	•	16	
73	•	20	21	19	15	•	
72	19	•	20	•	•	15	
71	•	19	•	18	14	•	
70	18	•	19	•	•	14	
69	•	18	•	17	13	•	
68	17	17	18	16	•	13	
67	•	•	17	•	12	•	
66	16	16	•	15	•	12	
65	15	•	16	•	•	•	
64	•	15	•	14	11	11	
63	14	14	15	•	•	•	
62	•	•	14	13	10	10	
61	13	13	•	•	•	•	
60	•	•	13	12	9	9	
59	12	12	•	11	•	•	
58	•	11	12	•	8	8	
57	11	•	11	10	•	•	
56	10	10	•	•	•	•	
55	•	•	10	9	7	7	
54	9	9	9	•	•	•	
53	•	8	•	8	6	6	
52	8	•	8	7	•	•	
51	•	7	•	•	5	5	
50	7	•	7	6	•	•	
49	•	6	6	•	4	4	
48	6	•	•	5	•	•	
47	•	5	5	•	3	3	
46	5	4	•	4	•	•	
45	4	•	4	3	•	2	
44	•	3	3	•	2	•	
43	3	•	•	2	•	1	
42	•	2	2	•	1	•	
41	2	1	•	1	•	0	
40	0-1	0	0-1	0	0	•	
