T 	12	13	14	15	16	17
90	19+	18+	18+	23+	22+	21+	
89	•	17	•	22	•	20	
88	18	•	•	•	21	•	
87	•	16	17	21	•	19	
86	•	•	•	•	20	•	
85	17	•	•	20	•	18	
84	•	15	16	•	19	•	
83	•	•	•	19	•	•	
82	16	•	15	•	•	17	
81	•	14	•	18	18	•	
80	15	•	•	•	•	16	
79	•	•	14	17	17	•	
78	•	13	•	•	•	15	
77	14	•	•	16	16	•	
76	•	•	13	•	•	•	
75	13	12	•	15	15	14	
74	•	•	12	•	•	•	
73	•	11	•	•	14	13	
72	12	•	•	14	•	•	
71	•	•	11	•	13	•	
70	11	10	•	13	•	12	
69	•	•	•	•	12	•	
68	•	•	10	12	•	11	
67	10	9	•	•	•	•	
66	•	•	•	11	11	10	
65	9	•	9	•	•	•	
64	•	8	•	10	10	•	
63	•	•	8	•	•	9	
62	8	•	•	9	9	•	
61	•	7	•	•	•	8	
60	7	•	7	8	8	•	
59	•	6	•	•	•	•	
58	•	•	•	7	7	7	
57	6	•	6	•	•	•	
56	•	5	•	6	6	6	
55	5	•	5	•	•	•	
54	•	•	•	5	5	5	
53	•	4	•	•	•	•	
52	4	•	4	4	•	•	
51	•	•	•	•	4	4	
50	•	3	•	3	•	•	
49	3	•	3	•	3	3	
48	•	•	•	2	•	•	
47	2	2	2	•	2	•	
46	•	•	•	•	•	2	
45	•	•	•	1	1	•	
44	1	1	1	•	•	1	
43	•	•	•	0	0	•	
42	0	0	•	•	•	0	
41	•	•	0	•	•	•	
40	•	•	•	•	•	•	
