Pohlaví,Věk,Kategorie,Body,T-skór
z,6,AH,0,40
z,6,AH,1,40
z,6,AH,2,41
z,6,AH,3,43
z,6,AH,4,45
z,6,AH,5,47
z,6,AH,6,50
z,6,AH,7,52
z,6,AH,8,54
z,6,AH,9,56
z,6,AH,10,58
z,6,AH,11,61
z,6,AH,12,63
z,6,AH,13,65
z,6,AH,14,67
z,6,AH,15,69
z,6,AH,16,71
z,6,AH,17,74
z,6,AH,18,76
z,6,AH,19,78
z,6,AH,20,80
z,6,AH,21,82
z,6,AH,22,84
z,6,AH,23,87
z,6,AH,24,89
z,6,AH,25,90
z,6,AH,26,90
z,6,AH,27,90
z,6,AH,28,90
z,6,AH,29,90
z,6,AH,30,90
z,6,AH,31,90
z,6,AH,32,90
z,6,AH,33,90
z,6,AH,34,90
z,6,AH,35,90
z,6,AH,36,90
z,6,AH,37,90
z,6,AH,38,90
z,6,AH,39,90
z,6,AH,40,90
z,7,AH,0,40
z,7,AH,1,41
z,7,AH,2,43
z,7,AH,3,45
z,7,AH,4,47
z,7,AH,5,49
z,7,AH,6,51
z,7,AH,7,53
z,7,AH,8,55
z,7,AH,9,57
z,7,AH,10,59
z,7,AH,11,61
z,7,AH,12,63
z,7,AH,13,65
z,7,AH,14,67
z,7,AH,15,69
z,7,AH,16,71
z,7,AH,17,73
z,7,AH,18,75
z,7,AH,19,77
z,7,AH,20,79
z,7,AH,21,81
z,7,AH,22,83
z,7,AH,23,85
z,7,AH,24,87
z,7,AH,25,89
z,7,AH,26,90
z,7,AH,27,90
z,7,AH,28,90
z,7,AH,29,90
z,7,AH,30,90
z,7,AH,31,90
z,7,AH,32,90
z,7,AH,33,90
z,7,AH,34,90
z,7,AH,35,90
z,7,AH,36,90
z,7,AH,37,90
z,7,AH,38,90
z,7,AH,39,90
z,7,AH,40,90
z,8,AH,0,40
z,8,AH,1,40
z,8,AH,2,42
z,8,AH,3,44
z,8,AH,4,46
z,8,AH,5,48
z,8,AH,6,50
z,8,AH,7,52
z,8,AH,8,54
z,8,AH,9,56
z,8,AH,10,58
z,8,AH,11,60
z,8,AH,12,62
z,8,AH,13,64
z,8,AH,14,66
z,8,AH,15,68
z,8,AH,16,70
z,8,AH,17,72
z,8,AH,18,74
z,8,AH,19,76
z,8,AH,20,78
z,8,AH,21,79
z,8,AH,22,81
z,8,AH,23,83
z,8,AH,24,85
z,8,AH,25,87
z,8,AH,26,89
z,8,AH,27,90
z,8,AH,28,90
z,8,AH,29,90
z,8,AH,30,90
z,8,AH,31,90
z,8,AH,32,90
z,8,AH,33,90
z,8,AH,34,90
z,8,AH,35,90
z,8,AH,36,90
z,8,AH,37,90
z,8,AH,38,90
z,8,AH,39,90
z,8,AH,40,90
z,9,AH,0,40
z,9,AH,1,41
z,9,AH,2,43
z,9,AH,3,45
z,9,AH,4,48
z,9,AH,5,50
z,9,AH,6,52
z,9,AH,7,54
z,9,AH,8,56
z,9,AH,9,58
z,9,AH,10,60
z,9,AH,11,62
z,9,AH,12,64
z,9,AH,13,66
z,9,AH,14,68
z,9,AH,15,71
z,9,AH,16,73
z,9,AH,17,75
z,9,AH,18,77
z,9,AH,19,79
z,9,AH,20,81
z,9,AH,21,83
z,9,AH,22,85
z,9,AH,23,87
z,9,AH,24,89
z,9,AH,25,90
z,9,AH,26,90
z,9,AH,27,90
z,9,AH,28,90
z,9,AH,29,90
z,9,AH,30,90
z,9,AH,31,90
z,9,AH,32,90
z,9,AH,33,90
z,9,AH,34,90
z,9,AH,35,90
z,9,AH,36,90
z,9,AH,37,90
z,9,AH,38,90
z,9,AH,39,90
z,9,AH,40,90
z,10,AH,0,40
z,10,AH,1,42
z,10,AH,2,45
z,10,AH,3,47
z,10,AH,4,50
z,10,AH,5,53
z,10,AH,6,55
z,10,AH,7,58
z,10,AH,8,61
z,10,AH,9,63
z,10,AH,10,66
z,10,AH,11,69
z,10,AH,12,72
z,10,AH,13,74
z,10,AH,14,77
z,10,AH,15,80
z,10,AH,16,82
z,10,AH,17,85
z,10,AH,18,88
z,10,AH,19,90
z,10,AH,20,90
z,10,AH,21,90
z,10,AH,22,90
z,10,AH,23,90
z,10,AH,24,90
z,10,AH,25,90
z,10,AH,26,90
z,10,AH,27,90
z,10,AH,28,90
z,10,AH,29,90
z,10,AH,30,90
z,10,AH,31,90
z,10,AH,32,90
z,10,AH,33,90
z,10,AH,34,90
z,10,AH,35,90
z,10,AH,36,90
z,10,AH,37,90
z,10,AH,38,90
z,10,AH,39,90
z,10,AH,40,90
z,11,AH,0,40
z,11,AH,1,43
z,11,AH,2,45
z,11,AH,3,48
z,11,AH,4,51
z,11,AH,5,53
z,11,AH,6,56
z,11,AH,7,59
z,11,AH,8,61
z,11,AH,9,64
z,11,AH,10,66
z,11,AH,11,69
z,11,AH,12,72
z,11,AH,13,74
z,11,AH,14,77
z,11,AH,15,80
z,11,AH,16,82
z,11,AH,17,85
z,11,AH,18,88
z,11,AH,19,90
z,11,AH,20,90
z,11,AH,21,90
z,11,AH,22,90
z,11,AH,23,90
z,11,AH,24,90
z,11,AH,25,90
z,11,AH,26,90
z,11,AH,27,90
z,11,AH,28,90
z,11,AH,29,90
z,11,AH,30,90
z,11,AH,31,90
z,11,AH,32,90
z,11,AH,33,90
z,11,AH,34,90
z,11,AH,35,90
z,11,AH,36,90
z,11,AH,37,90
z,11,AH,38,90
z,11,AH,39,90
z,11,AH,40,90
