Pohlaví,Věk,Kategorie,Body,T-skór
M,7,C,0,20
M,8,C,0,20
M,9,C,0,20
M,10,C,0,20
M,11,C,0,20
M,12,C,0,20
M,7,C,1,49
M,8,C,1,49
M,9,C,1,49
M,10,C,1,49
M,11,C,1,49
M,12,C,1,49
M,7,C,2,63
M,8,C,2,63
M,9,C,2,63
M,10,C,2,63
M,11,C,2,63
M,12,C,2,63
M,7,C,3,76
M,8,C,3,76
M,9,C,3,76
M,10,C,3,76
M,11,C,3,76
M,12,C,3,76
M,7,C,4,86
M,8,C,4,86
M,9,C,4,86
M,10,C,4,86
M,11,C,4,86
M,12,C,4,86
M,7,C,5,93
M,8,C,5,93
M,9,C,5,93
M,10,C,5,93
M,11,C,5,93
M,12,C,5,93
M,7,C,6,97
M,8,C,6,97
M,9,C,6,97
M,10,C,6,97
M,11,C,6,97
M,12,C,6,97
M,7,C,7,98
M,8,C,7,98
M,9,C,7,98
M,10,C,7,98
M,11,C,7,98
M,12,C,7,98
M,7,C,8,98
M,8,C,8,98
M,9,C,8,98
M,10,C,8,98
M,11,C,8,98
M,12,C,8,98
