Pohlaví,Věk,Kategorie,Body,T-skór
m,12,PR,0,42
m,12,PR,1,48
m,12,PR,2,53
m,12,PR,3,59
m,12,PR,4,64
m,12,PR,5,70
m,12,PR,6,75
m,12,PR,7,81
m,12,PR,8,86
m,12,PR,9,90
m,12,PR,10,90
m,12,PR,11,90
m,12,PR,12,90
m,12,PR,13,90
m,12,PR,14,90
m,12,PR,15,90
m,12,PR,16,90
m,12,PR,17,90
m,12,PR,18,90
m,12,PR,19,90
m,12,PR,20,90
m,12,PR,21,90
m,12,PR,22,90
m,12,PR,23,90
m,12,PR,24,90
m,12,PR,25,90
m,12,PR,26,90
m,12,PR,27,90
m,12,PR,28,90
m,12,PR,29,90
m,12,PR,30,90
m,12,PR,31,90
m,12,PR,32,90
m,12,PR,33,90
m,12,PR,34,90
m,12,PR,35,90
m,12,PR,36,90
m,12,PR,37,90
m,12,PR,38,90
m,12,PR,39,90
m,12,PR,40,90
m,13,PR,0,42
m,13,PR,1,47
m,13,PR,2,53
m,13,PR,3,58
m,13,PR,4,64
m,13,PR,5,69
m,13,PR,6,75
m,13,PR,7,81
m,13,PR,8,86
m,13,PR,9,90
m,13,PR,10,90
m,13,PR,11,90
m,13,PR,12,90
m,13,PR,13,90
m,13,PR,14,90
m,13,PR,15,90
m,13,PR,16,90
m,13,PR,17,90
m,13,PR,18,90
m,13,PR,19,90
m,13,PR,20,90
m,13,PR,21,90
m,13,PR,22,90
m,13,PR,23,90
m,13,PR,24,90
m,13,PR,25,90
m,13,PR,26,90
m,13,PR,27,90
m,13,PR,28,90
m,13,PR,29,90
m,13,PR,30,90
m,13,PR,31,90
m,13,PR,32,90
m,13,PR,33,90
m,13,PR,34,90
m,13,PR,35,90
m,13,PR,36,90
m,13,PR,37,90
m,13,PR,38,90
m,13,PR,39,90
m,13,PR,40,90
m,14,PR,0,41
m,14,PR,1,47
m,14,PR,2,53
m,14,PR,3,59
m,14,PR,4,64
m,14,PR,5,70
m,14,PR,6,76
m,14,PR,7,82
m,14,PR,8,88
m,14,PR,9,90
m,14,PR,10,90
m,14,PR,11,90
m,14,PR,12,90
m,14,PR,13,90
m,14,PR,14,90
m,14,PR,15,90
m,14,PR,16,90
m,14,PR,17,90
m,14,PR,18,90
m,14,PR,19,90
m,14,PR,20,90
m,14,PR,21,90
m,14,PR,22,90
m,14,PR,23,90
m,14,PR,24,90
m,14,PR,25,90
m,14,PR,26,90
m,14,PR,27,90
m,14,PR,28,90
m,14,PR,29,90
m,14,PR,30,90
m,14,PR,31,90
m,14,PR,32,90
m,14,PR,33,90
m,14,PR,34,90
m,14,PR,35,90
m,14,PR,36,90
m,14,PR,37,90
m,14,PR,38,90
m,14,PR,39,90
m,14,PR,40,90
m,15,PR,0,43
m,15,PR,1,47
m,15,PR,2,52
m,15,PR,3,57
m,15,PR,4,61
m,15,PR,5,66
m,15,PR,6,71
m,15,PR,7,75
m,15,PR,8,80
m,15,PR,9,85
m,15,PR,10,89
m,15,PR,11,90
m,15,PR,12,90
m,15,PR,13,90
m,15,PR,14,90
m,15,PR,15,90
m,15,PR,16,90
m,15,PR,17,90
m,15,PR,18,90
m,15,PR,19,90
m,15,PR,20,90
m,15,PR,21,90
m,15,PR,22,90
m,15,PR,23,90
m,15,PR,24,90
m,15,PR,25,90
m,15,PR,26,90
m,15,PR,27,90
m,15,PR,28,90
m,15,PR,29,90
m,15,PR,30,90
m,15,PR,31,90
m,15,PR,32,90
m,15,PR,33,90
