Pohlaví,Věk,Kategorie,Body,T-skór
M,13,E,0,21
M,14,E,0,21
M,15,E,0,21
M,16,E,0,21
M,17,E,0,21
M,13,E,1,52
M,14,E,1,52
M,15,E,1,52
M,16,E,1,52
M,17,E,1,52
M,13,E,2,71
M,14,E,2,71
M,15,E,2,71
M,16,E,2,71
M,17,E,2,71
M,13,E,3,81
M,14,E,3,81
M,15,E,3,81
M,16,E,3,81
M,17,E,3,81
M,13,E,4,90
M,14,E,4,90
M,15,E,4,90
M,16,E,4,90
M,17,E,4,90
M,13,E,5,95
M,14,E,5,95
M,15,E,5,95
M,16,E,5,95
M,17,E,5,95
M,13,E,6,96
M,14,E,6,96
M,15,E,6,96
M,16,E,6,96
M,17,E,6,96
M,13,E,7,98
M,14,E,7,98
M,15,E,7,98
M,16,E,7,98
M,17,E,7,98
M,13,E,8,98
M,14,E,8,98
M,15,E,8,98
M,16,E,8,98
M,17,E,8,98
M,13,E,9,98
M,14,E,9,98
M,15,E,9,98
M,16,E,9,98
M,17,E,9,98
M,13,E,10,99
M,14,E,10,99
M,15,E,10,99
M,16,E,10,99
M,17,E,10,99
