Pohlaví,Věk,Kategorie,Body,T-skór
m,6,GI,0,40
m,6,GI,1,40
m,6,GI,2,42
m,6,GI,3,45
m,6,GI,4,47
m,6,GI,5,49
m,6,GI,6,51
m,6,GI,7,54
m,6,GI,8,56
m,6,GI,9,58
m,6,GI,10,60
m,6,GI,11,63
m,6,GI,12,65
m,6,GI,13,67
m,6,GI,14,69
m,6,GI,15,72
m,6,GI,16,74
m,6,GI,17,76
m,6,GI,18,78
m,6,GI,19,81
m,6,GI,20,83
m,6,GI,21,85
m,6,GI,22,88
m,6,GI,23,90
m,6,GI,24,90
m,6,GI,25,90
m,6,GI,26,90
m,6,GI,27,90
m,6,GI,28,90
m,6,GI,29,90
m,6,GI,30,90
m,6,GI,31,90
m,6,GI,32,90
m,6,GI,33,90
m,6,GI,34,90
m,6,GI,35,90
m,6,GI,36,90
m,6,GI,37,90
m,6,GI,38,90
m,6,GI,39,90
m,6,GI,40,90
m,7,GI,0,40
m,7,GI,1,40
m,7,GI,2,42
m,7,GI,3,45
m,7,GI,4,47
m,7,GI,5,49
m,7,GI,6,51
m,7,GI,7,54
m,7,GI,8,56
m,7,GI,9,58
m,7,GI,10,60
m,7,GI,11,63
m,7,GI,12,65
m,7,GI,13,67
m,7,GI,14,69
m,7,GI,15,72
m,7,GI,16,74
m,7,GI,17,76
m,7,GI,18,78
m,7,GI,19,81
m,7,GI,20,83
m,7,GI,21,85
m,7,GI,22,88
m,7,GI,23,90
m,7,GI,24,90
m,7,GI,25,90
m,7,GI,26,90
m,7,GI,27,90
m,7,GI,28,90
m,7,GI,29,90
m,7,GI,30,90
m,7,GI,31,90
m,7,GI,32,90
m,7,GI,33,90
m,7,GI,34,90
m,7,GI,35,90
m,7,GI,36,90
m,7,GI,37,90
m,7,GI,38,90
m,7,GI,39,90
m,7,GI,40,90
m,8,GI,0,40
m,8,GI,1,41
m,8,GI,2,44
m,8,GI,3,46
m,8,GI,4,48
m,8,GI,5,51
m,8,GI,6,53
m,8,GI,7,56
m,8,GI,8,58
m,8,GI,9,60
m,8,GI,10,63
m,8,GI,11,65
m,8,GI,12,68
m,8,GI,13,70
m,8,GI,14,72
m,8,GI,15,75
m,8,GI,16,77
m,8,GI,17,80
m,8,GI,18,82
m,8,GI,19,84
m,8,GI,20,87
m,8,GI,21,89
m,8,GI,22,90
m,8,GI,23,90
m,8,GI,24,90
m,8,GI,25,90
m,8,GI,26,90
m,8,GI,27,90
m,8,GI,28,90
m,8,GI,29,90
m,8,GI,30,90
m,8,GI,31,90
m,8,GI,32,90
m,8,GI,33,90
m,8,GI,34,90
m,8,GI,35,90
m,8,GI,36,90
m,8,GI,37,90
m,8,GI,38,90
m,8,GI,39,90
m,8,GI,40,90
m,9,GI,0,40
m,9,GI,1,41
m,9,GI,2,43
m,9,GI,3,45
m,9,GI,4,48
m,9,GI,5,50
m,9,GI,6,52
m,9,GI,7,54
m,9,GI,8,56
m,9,GI,9,58
m,9,GI,10,60
m,9,GI,11,62
m,9,GI,12,64
m,9,GI,13,66
m,9,GI,14,68
m,9,GI,15,70
m,9,GI,16,72
m,9,GI,17,74
m,9,GI,18,76
m,9,GI,19,78
m,9,GI,20,80
m,9,GI,21,82
m,9,GI,22,84
m,9,GI,23,86
m,9,GI,24,88
m,9,GI,25,90
m,9,GI,26,90
m,9,GI,27,90
m,9,GI,28,90
m,9,GI,29,90
m,9,GI,30,90
m,9,GI,31,90
m,9,GI,32,90
m,9,GI,33,90
m,9,GI,34,90
m,9,GI,35,90
m,9,GI,36,90
m,9,GI,37,90
m,9,GI,38,90
m,9,GI,39,90
m,9,GI,40,90
m,10,GI,0,40
m,10,GI,1,42
m,10,GI,2,44
m,10,GI,3,46
m,10,GI,4,48
m,10,GI,5,51
m,10,GI,6,53
m,10,GI,7,55
m,10,GI,8,57
m,10,GI,9,60
m,10,GI,10,62
m,10,GI,11,64
m,10,GI,12,66
m,10,GI,13,68
m,10,GI,14,71
m,10,GI,15,73
m,10,GI,16,75
m,10,GI,17,77
m,10,GI,18,80
m,10,GI,19,82
m,10,GI,20,84
m,10,GI,21,86
m,10,GI,22,89
m,10,GI,23,90
m,10,GI,24,90
m,10,GI,25,90
m,10,GI,26,90
m,10,GI,27,90
m,10,GI,28,90
m,10,GI,29,90
m,10,GI,30,90
m,10,GI,31,90
m,10,GI,32,90
m,10,GI,33,90
m,10,GI,34,90
m,10,GI,35,90
m,10,GI,36,90
m,10,GI,37,90
m,10,GI,38,90
m,10,GI,39,90
m,10,GI,40,90
m,11,GI,0,40
m,11,GI,1,40
m,11,GI,2,43
m,11,GI,3,45
m,11,GI,4,48
m,11,GI,5,51
m,11,GI,6,53
m,11,GI,7,56
m,11,GI,8,59
m,11,GI,9,61
m,11,GI,10,64
m,11,GI,11,66
m,11,GI,12,69
m,11,GI,13,72
m,11,GI,14,74
m,11,GI,15,77
m,11,GI,16,79
m,11,GI,17,82
m,11,GI,18,85
m,11,GI,19,87
m,11,GI,20,90
m,11,GI,21,90
m,11,GI,22,90
m,11,GI,23,90
m,11,GI,24,90
m,11,GI,25,90
m,11,GI,26,90
m,11,GI,27,90
m,11,GI,28,90
m,11,GI,29,90
m,11,GI,30,90
m,11,GI,31,90
m,11,GI,32,90
m,11,GI,33,90
m,11,GI,34,90
m,11,GI,35,90
m,11,GI,36,90
m,11,GI,37,90
m,11,GI,38,90
m,11,GI,39,90
m,11,GI,40,90
