Pohlaví,Věk,Kategorie,Body,T-skór
m,12,IN,0,40
m,12,IN,1,40
m,12,IN,2,42
m,12,IN,3,44
m,12,IN,4,46
m,12,IN,5,47
m,12,IN,6,49
m,12,IN,7,51
m,12,IN,8,53
m,12,IN,9,55
m,12,IN,10,56
m,12,IN,11,58
m,12,IN,12,60
m,12,IN,13,62
m,12,IN,14,64
m,12,IN,15,65
m,12,IN,16,67
m,12,IN,17,69
m,12,IN,18,71
m,12,IN,19,72
m,12,IN,20,74
m,12,IN,21,76
m,12,IN,22,78
m,12,IN,23,80
m,12,IN,24,81
m,12,IN,25,83
m,12,IN,26,85
m,12,IN,27,87
m,12,IN,28,89
m,12,IN,29,90
m,12,IN,30,90
m,12,IN,31,90
m,12,IN,32,90
m,12,IN,33,90
m,12,IN,34,90
m,12,IN,35,90
m,12,IN,36,90
m,12,IN,37,90
m,12,IN,38,90
m,12,IN,39,90
m,12,IN,40,90
m,13,IN,0,40
m,13,IN,1,40
m,13,IN,2,41
m,13,IN,3,43
m,13,IN,4,45
m,13,IN,5,47
m,13,IN,6,49
m,13,IN,7,51
m,13,IN,8,52
m,13,IN,9,54
m,13,IN,10,56
m,13,IN,11,58
m,13,IN,12,60
m,13,IN,13,62
m,13,IN,14,64
m,13,IN,15,66
m,13,IN,16,68
m,13,IN,17,69
m,13,IN,18,71
m,13,IN,19,73
m,13,IN,20,75
m,13,IN,21,77
m,13,IN,22,79
m,13,IN,23,81
m,13,IN,24,83
m,13,IN,25,85
m,13,IN,26,86
m,13,IN,27,88
m,13,IN,28,90
m,13,IN,29,90
m,13,IN,30,90
m,13,IN,31,90
m,13,IN,32,90
m,13,IN,33,90
m,13,IN,34,90
m,13,IN,35,90
m,13,IN,36,90
m,13,IN,37,90
m,13,IN,38,90
m,13,IN,39,90
m,13,IN,40,90
m,14,IN,0,40
m,14,IN,1,40
m,14,IN,2,42
m,14,IN,3,44
m,14,IN,4,46
m,14,IN,5,47
m,14,IN,6,49
m,14,IN,7,51
m,14,IN,8,53
m,14,IN,9,55
m,14,IN,10,57
m,14,IN,11,59
m,14,IN,12,61
m,14,IN,13,63
m,14,IN,14,65
m,14,IN,15,67
m,14,IN,16,69
m,14,IN,17,70
m,14,IN,18,72
m,14,IN,19,74
m,14,IN,20,76
m,14,IN,21,78
m,14,IN,22,80
m,14,IN,23,82
m,14,IN,24,84
m,14,IN,25,86
m,14,IN,26,88
m,14,IN,27,90
m,14,IN,28,90
m,14,IN,29,90
m,14,IN,30,90
m,14,IN,31,90
m,14,IN,32,90
m,14,IN,33,90
m,14,IN,34,90
m,14,IN,35,90
m,14,IN,36,90
m,14,IN,37,90
m,14,IN,38,90
m,14,IN,39,90
m,14,IN,40,90
m,15,IN,0,40
m,15,IN,1,40
m,15,IN,2,42
m,15,IN,3,45
m,15,IN,4,47
m,15,IN,5,50
m,15,IN,6,52
m,15,IN,7,54
m,15,IN,8,57
m,15,IN,9,59
m,15,IN,10,62
m,15,IN,11,64
m,15,IN,12,66
m,15,IN,13,69
m,15,IN,14,71
m,15,IN,15,74
m,15,IN,16,76
m,15,IN,17,79
m,15,IN,18,81
m,15,IN,19,83
m,15,IN,20,86
m,15,IN,21,88
m,15,IN,22,90
m,15,IN,23,90
m,15,IN,24,90
m,15,IN,25,90
m,15,IN,26,90
m,15,IN,27,90
m,15,IN,28,90
m,15,IN,29,90
m,15,IN,30,90
m,15,IN,31,90
m,15,IN,32,90
m,15,IN,33,90
m,15,IN,34,90
m,15,IN,35,90
m,15,IN,36,90
m,15,IN,37,90
m,15,IN,38,90
m,15,IN,39,90
m,15,IN,40,90
m,16,IN,0,40
m,16,IN,1,41
m,16,IN,2,43
m,16,IN,3,45
m,16,IN,4,47
m,16,IN,5,49
m,16,IN,6,51
m,16,IN,7,53
m,16,IN,8,55
m,16,IN,9,57
m,16,IN,10,59
m,16,IN,11,61
m,16,IN,12,63
m,16,IN,13,65
m,16,IN,14,67
m,16,IN,15,69
m,16,IN,16,71
m,16,IN,17,73
m,16,IN,18,75
m,16,IN,19,77
m,16,IN,20,79
m,16,IN,21,81
m,16,IN,22,83
m,16,IN,23,85
m,16,IN,24,87
m,16,IN,25,89
m,16,IN,26,90
m,16,IN,27,90
m,16,IN,28,90
m,16,IN,29,90
m,16,IN,30,90
m,16,IN,31,90
m,16,IN,32,90
m,16,IN,33,90
m,16,IN,34,90
m,16,IN,35,90
m,16,IN,36,90
m,16,IN,37,90
m,16,IN,38,90
m,16,IN,39,90
m,16,IN,40,90
m,17,IN,0,40
m,17,IN,1,42
m,17,IN,2,44
m,17,IN,3,46
m,17,IN,4,48
m,17,IN,5,51
m,17,IN,6,53
m,17,IN,7,55
m,17,IN,8,57
m,17,IN,9,59
m,17,IN,10,61
m,17,IN,11,63
m,17,IN,12,65
m,17,IN,13,68
m,17,IN,14,70
m,17,IN,15,72
m,17,IN,16,74
m,17,IN,17,76
m,17,IN,18,78
m,17,IN,19,80
m,17,IN,20,82
m,17,IN,21,84
m,17,IN,22,87
m,17,IN,23,89
m,17,IN,24,90
m,17,IN,25,90
m,17,IN,26,90
m,17,IN,27,90
m,17,IN,28,90
m,17,IN,29,90
m,17,IN,30,90
m,17,IN,31,90
m,17,IN,32,90
m,17,IN,33,90
m,17,IN,34,90
m,17,IN,35,90
m,17,IN,36,90
m,17,IN,37,90
m,17,IN,38,90
m,17,IN,39,90
m,17,IN,40,90
m,18,IN,0,40
m,18,IN,1,42
m,18,IN,2,44
m,18,IN,3,46
