Pohlaví,Věk,Kategorie,Body,T-skór
Z,13,F,0,1
Z,14,F,0,1
Z,15,F,0,1
Z,16,F,0,1
Z,17,F,0,1
Z,13,F,1,4
Z,14,F,1,4
Z,15,F,1,4
Z,16,F,1,4
Z,17,F,1,4
Z,13,F,2,11
Z,14,F,2,11
Z,15,F,2,11
Z,16,F,2,11
Z,17,F,2,11
Z,13,F,3,13
Z,14,F,3,13
Z,15,F,3,13
Z,16,F,3,13
Z,17,F,3,13
Z,13,F,4,18
Z,14,F,4,18
Z,15,F,4,18
Z,16,F,4,18
Z,17,F,4,18
Z,13,F,5,25
Z,14,F,5,25
Z,15,F,5,25
Z,16,F,5,25
Z,17,F,5,25
Z,13,F,6,34
Z,14,F,6,34
Z,15,F,6,34
Z,16,F,6,34
Z,17,F,6,34
Z,13,F,7,41
Z,14,F,7,41
Z,15,F,7,41
Z,16,F,7,41
Z,17,F,7,41
Z,13,F,8,51
Z,14,F,8,51
Z,15,F,8,51
Z,16,F,8,51
Z,17,F,8,51
Z,13,F,9,61
Z,14,F,9,61
Z,15,F,9,61
Z,16,F,9,61
Z,17,F,9,61
Z,13,F,10,64
Z,14,F,10,64
Z,15,F,10,64
Z,16,F,10,64
Z,17,F,10,64
Z,13,F,11,69
Z,14,F,11,69
Z,15,F,11,69
Z,16,F,11,69
Z,17,F,11,69
Z,13,F,12,72
Z,14,F,12,72
Z,15,F,12,72
Z,16,F,12,72
Z,17,F,12,72
Z,13,F,13,76
Z,14,F,13,76
Z,15,F,13,76
Z,16,F,13,76
Z,17,F,13,76
Z,13,F,14,79
Z,14,F,14,79
Z,15,F,14,79
Z,16,F,14,79
Z,17,F,14,79
Z,13,F,15,82
Z,14,F,15,82
Z,15,F,15,82
Z,16,F,15,82
Z,17,F,15,82
Z,13,F,16,83
Z,14,F,16,83
Z,15,F,16,83
Z,16,F,16,83
Z,17,F,16,83
Z,13,F,17,89
Z,14,F,17,89
Z,15,F,17,89
Z,16,F,17,89
Z,17,F,17,89
Z,13,F,18,91
Z,14,F,18,91
Z,15,F,18,91
Z,16,F,18,91
Z,17,F,18,91
Z,13,F,19,93
Z,14,F,19,93
Z,15,F,19,93
Z,16,F,19,93
Z,17,F,19,93
Z,13,F,20,95
Z,14,F,20,95
Z,15,F,20,95
Z,16,F,20,95
Z,17,F,20,95
Z,13,F,21,95
Z,14,F,21,95
Z,15,F,21,95
Z,16,F,21,95
Z,17,F,21,95
Z,13,F,22,97
Z,14,F,22,97
Z,15,F,22,97
Z,16,F,22,97
Z,17,F,22,97
Z,13,F,23,97
Z,14,F,23,97
Z,15,F,23,97
Z,16,F,23,97
Z,17,F,23,97
Z,13,F,24,97
Z,14,F,24,97
Z,15,F,24,97
Z,16,F,24,97
Z,17,F,24,97
Z,13,F,25,97
Z,14,F,25,97
Z,15,F,25,97
Z,16,F,25,97
Z,17,F,25,97
Z,13,F,26,98
Z,14,F,26,98
Z,15,F,26,98
Z,16,F,26,98
Z,17,F,26,98
Z,13,F,27,99
Z,14,F,27,99
Z,15,F,27,99
Z,16,F,27,99
Z,17,F,27,99
Z,13,F,28,99
Z,14,F,28,99
Z,15,F,28,99
Z,16,F,28,99
Z,17,F,28,99
Z,13,F,29,99
Z,14,F,29,99
Z,15,F,29,99
Z,16,F,29,99
Z,17,F,29,99
Z,13,F,30,99
Z,14,F,30,99
Z,15,F,30,99
Z,16,F,30,99
Z,17,F,30,99
Z,13,F,31,99
Z,14,F,31,99
Z,15,F,31,99
Z,16,F,31,99
Z,17,F,31,99
Z,13,F,32,99
Z,14,F,32,99
Z,15,F,32,99
Z,16,F,32,99
Z,17,F,32,99
Z,13,F,33,99
Z,14,F,33,99
Z,15,F,33,99
Z,16,F,33,99
Z,17,F,33,99
Z,13,F,34,99
Z,14,F,34,99
Z,15,F,34,99
Z,16,F,34,99
Z,17,F,34,99
Z,13,F,35,99
Z,14,F,35,99
Z,15,F,35,99
Z,16,F,35,99
Z,17,F,35,99
Z,13,F,36,99
Z,14,F,36,99
Z,15,F,36,99
Z,16,F,36,99
Z,17,F,36,99
Z,13,F,37,99
Z,14,F,37,99
Z,15,F,37,99
Z,16,F,37,99
Z,17,F,37,99
Z,13,F,38,99
Z,14,F,38,99
Z,15,F,38,99
Z,16,F,38,99
Z,17,F,38,99
Z,13,F,39,99
Z,14,F,39,99
Z,15,F,39,99
Z,16,F,39,99
Z,17,F,39,99
Z,13,F,40,99
Z,14,F,40,99
Z,15,F,40,99
Z,16,F,40,99
Z,17,F,40,99
Z,13,F,41,99
Z,14,F,41,99
Z,15,F,41,99
Z,16,F,41,99
Z,17,F,41,99
Z,13,F,42,99
Z,14,F,42,99
Z,15,F,42,99
Z,16,F,42,99
Z,17,F,42,99
Z,13,F,43,99
Z,14,F,43,99
Z,15,F,43,99
Z,16,F,43,99
Z,17,F,43,99
Z,13,F,44,99
Z,14,F,44,99
Z,15,F,44,99
Z,16,F,44,99
Z,17,F,44,99
