Pohlaví,Věk,Kategorie,Body,T-skór
m,6,AG,0,43
m,6,AG,1,49
m,6,AG,2,55
m,6,AG,3,61
m,6,AG,4,67
m,6,AG,5,73
m,6,AG,6,78
m,6,AG,7,84
m,6,AG,8,90
m,6,AG,9,90
m,6,AG,10,90
m,6,AG,11,90
m,6,AG,12,90
m,6,AG,13,90
m,6,AG,14,90
m,6,AG,15,90
m,6,AG,16,90
m,6,AG,17,90
m,6,AG,18,90
m,6,AG,19,90
m,6,AG,20,90
m,6,AG,21,90
m,6,AG,22,90
m,6,AG,23,90
m,6,AG,24,90
m,6,AG,25,90
m,6,AG,26,90
m,6,AG,27,90
m,6,AG,28,90
m,6,AG,29,90
m,6,AG,30,90
m,6,AG,31,90
m,6,AG,32,90
m,6,AG,33,90
m,6,AG,34,90
m,6,AG,35,90
m,6,AG,36,90
m,6,AG,37,90
m,6,AG,38,90
m,6,AG,39,90
m,6,AG,40,90
m,6,AH,0,40
m,6,AH,1,40
m,6,AH,2,40
m,6,AH,3,41
m,6,AH,4,43
m,6,AH,5,45
m,6,AH,6,47
m,6,AH,7,49
m,6,AH,8,51
m,6,AH,9,53
m,6,AH,10,55
m,6,AH,11,57
m,6,AH,12,60
m,6,AH,13,62
m,6,AH,14,64
m,6,AH,15,66
m,6,AH,16,68
m,6,AH,17,70
m,6,AH,18,72
m,6,AH,19,74
m,6,AH,20,76
m,6,AH,21,78
m,6,AH,22,80
m,6,AH,23,82
m,6,AH,24,84
m,6,AH,25,86
m,6,AH,26,88
m,6,AH,27,90
m,6,AH,28,90
m,6,AH,29,90
m,6,AH,30,90
m,6,AH,31,90
m,6,AH,32,90
m,6,AH,33,90
m,6,AH,34,90
m,6,AH,35,90
m,6,AH,36,90
m,6,AH,37,90
m,6,AH,38,90
m,6,AH,39,90
m,6,AH,40,90
m,6,AN,0,40
m,6,AN,1,40
m,6,AN,2,41
m,6,AN,3,43
m,6,AN,4,46
m,6,AN,5,48
m,6,AN,6,51
m,6,AN,7,53
m,6,AN,8,55
m,6,AN,9,58
m,6,AN,10,60
m,6,AN,11,63
m,6,AN,12,65
m,6,AN,13,68
m,6,AN,14,70
m,6,AN,15,72
m,6,AN,16,75
m,6,AN,17,77
m,6,AN,18,80
m,6,AN,19,82
m,6,AN,20,85
m,6,AN,21,87
m,6,AN,22,89
m,6,AN,23,90
m,6,AN,24,90
m,6,AN,25,90
m,6,AN,26,90
m,6,AN,27,90
m,6,AN,28,90
m,6,AN,29,90
m,6,AN,30,90
m,6,AN,31,90
m,6,AN,32,90
m,6,AN,33,90
m,6,AN,34,90
m,6,AN,35,90
m,6,AN,36,90
m,6,AN,37,90
m,6,AN,38,90
m,6,AN,39,90
m,6,AN,40,90
m,6,CD,0,47
m,6,CD,1,52
m,6,CD,2,56
m,6,CD,3,61
m,6,CD,4,66
m,6,CD,5,71
m,6,CD,6,76
m,6,CD,7,81
m,6,CD,8,85
m,6,CD,9,90
m,6,CD,10,90
m,6,CD,11,90
m,6,CD,12,90
m,6,CD,13,90
m,6,CD,14,90
m,6,CD,15,90
m,6,CD,16,90
m,6,CD,17,90
m,6,CD,18,90
m,6,CD,19,90
m,6,CD,20,90
m,6,CD,21,90
m,6,CD,22,90
m,6,CD,23,90
m,6,CD,24,90
m,6,CD,25,90
m,6,CD,26,90
m,6,CD,27,90
m,6,CD,28,90
m,6,CD,29,90
m,6,CD,30,90
m,6,CD,31,90
m,6,CD,32,90
m,6,CD,33,90
m,6,CD,34,90
m,6,CD,35,90
m,6,CD,36,90
m,6,CD,37,90
m,6,CD,38,90
m,6,CD,39,90
m,6,CD,40,90
m,6,EF,0,40
m,6,EF,1,40
m,6,EF,2,40
m,6,EF,3,42
m,6,EF,4,44
m,6,EF,5,47
m,6,EF,6,49
m,6,EF,7,51
m,6,EF,8,53
m,6,EF,9,55
m,6,EF,10,58
m,6,EF,11,60
m,6,EF,12,62
m,6,EF,13,64
m,6,EF,14,66
m,6,EF,15,69
m,6,EF,16,71
m,6,EF,17,73
m,6,EF,18,75
m,6,EF,19,77
m,6,EF,20,80
m,6,EF,21,82
m,6,EF,22,84
m,6,EF,23,86
m,6,EF,24,89
m,6,EF,25,90
m,6,EF,26,90
m,6,EF,27,90
m,6,EF,28,90
m,6,EF,29,90
m,6,EF,30,90
m,6,EF,31,90
m,6,EF,32,90
m,6,EF,33,90
m,6,EF,34,90
m,6,EF,35,90
m,6,EF,36,90
m,6,EF,37,90
m,6,EF,38,90
m,6,EF,39,90
m,6,EF,40,90
m,6,GI,0,40
m,6,GI,1,40
m,6,GI,2,42
m,6,GI,3,45
m,6,GI,4,47
m,6,GI,5,49
m,6,GI,6,51
m,6,GI,7,54
m,6,GI,8,56
m,6,GI,9,58
m,6,GI,10,60
m,6,GI,11,63
m,6,GI,12,65
m,6,GI,13,67
m,6,GI,14,69
m,6,GI,15,72
m,6,GI,16,74
m,6,GI,17,76
m,6,GI,18,78
m,6,GI,19,81
m,6,GI,20,83
m,6,GI,21,85
m,6,GI,22,88
m,6,GI,23,90
m,6,GI,24,90
m,6,GI,25,90
m,6,GI,26,90
m,6,GI,27,90
m,6,GI,28,90
m,6,GI,29,90
m,6,GI,30,90
m,6,GI,31,90
m,6,GI,32,90
m,6,GI,33,90
m,6,GI,34,90
m,6,GI,35,90
m,6,GI,36,90
m,6,GI,37,90
m,6,GI,38,90
m,6,GI,39,90
m,6,GI,40,90
m,6,HY,0,40
m,6,HY,1,40
m,6,HY,2,40
m,6,HY,3,41
m,6,HY,4,42
m,6,HY,5,44
m,6,HY,6,46
m,6,HY,7,47
m,6,HY,8,49
m,6,HY,9,51
m,6,HY,10,52
m,6,HY,11,54
m,6,HY,12,56
m,6,HY,13,57
m,6,HY,14,59
m,6,HY,15,61
m,6,HY,16,62
m,6,HY,17,64
m,6,HY,18,66
m,6,HY,19,67
m,6,HY,20,69
m,6,HY,21,71
m,6,HY,22,72
m,6,HY,23,74
m,6,HY,24,76
m,6,HY,25,78
m,6,HY,26,79
m,6,HY,27,81
m,6,HY,28,83
m,6,HY,29,84
m,6,HY,30,86
m,6,HY,31,88
m,6,HY,32,89
m,6,HY,33,90
m,6,HY,34,90
m,6,HY,35,90
m,6,HY,36,90
m,6,HY,37,90
m,6,HY,38,90
m,6,HY,39,90
m,6,HY,40,90
m,6,IN,0,40
m,6,IN,1,40
m,6,IN,2,41
m,6,IN,3,44
m,6,IN,4,46
m,6,IN,5,48
m,6,IN,6,50
m,6,IN,7,52
m,6,IN,8,54
m,6,IN,9,56
m,6,IN,10,59
m,6,IN,11,61
m,6,IN,12,63
m,6,IN,13,65
m,6,IN,14,67
m,6,IN,15,69
m,6,IN,16,72
m,6,IN,17,74
m,6,IN,18,76
m,6,IN,19,78
m,6,IN,20,80
m,6,IN,21,82
m,6,IN,22,84
m,6,IN,23,87
m,6,IN,24,89
m,6,IN,25,90
m,6,IN,26,90
m,6,IN,27,90
m,6,IN,28,90
m,6,IN,29,90
m,6,IN,30,90
m,6,IN,31,90
m,6,IN,32,90
m,6,IN,33,90
m,6,IN,34,90
m,6,IN,35,90
m,6,IN,36,90
m,6,IN,37,90
m,6,IN,38,90
m,6,IN,39,90
m,6,IN,40,90
m,6,LP,0,40
m,6,LP,1,40
m,6,LP,2,42
m,6,LP,3,44
m,6,LP,4,46
m,6,LP,5,48
m,6,LP,6,50
m,6,LP,7,52
m,6,LP,8,54
m,6,LP,9,57
m,6,LP,10,59
m,6,LP,11,61
m,6,LP,12,63
m,6,LP,13,65
m,6,LP,14,67
m,6,LP,15,69
m,6,LP,16,71
