Pohlaví,Věk,Kategorie,Body,T-skór
m,12,AH,0,41
m,12,AH,1,43
m,12,AH,2,45
m,12,AH,3,48
m,12,AH,4,50
m,12,AH,5,52
m,12,AH,6,54
m,12,AH,7,56
m,12,AH,8,58
m,12,AH,9,60
m,12,AH,10,62
m,12,AH,11,64
m,12,AH,12,67
m,12,AH,13,69
m,12,AH,14,71
m,12,AH,15,73
m,12,AH,16,75
m,12,AH,17,77
m,12,AH,18,79
m,12,AH,19,81
m,12,AH,20,83
m,12,AH,21,86
m,12,AH,22,88
m,12,AH,23,90
m,12,AH,24,90
m,12,AH,25,90
m,12,AH,26,90
m,12,AH,27,90
m,12,AH,28,90
m,12,AH,29,90
m,12,AH,30,90
m,12,AH,31,90
m,12,AH,32,90
m,12,AH,33,90
m,12,AH,34,90
m,12,AH,35,90
m,12,AH,36,90
m,12,AH,37,90
m,12,AH,38,90
m,12,AH,39,90
m,12,AH,40,90
m,13,AH,0,40
m,13,AH,1,43
m,13,AH,2,45
m,13,AH,3,47
m,13,AH,4,50
m,13,AH,5,52
m,13,AH,6,54
m,13,AH,7,56
m,13,AH,8,59
m,13,AH,9,61
m,13,AH,10,63
m,13,AH,11,66
m,13,AH,12,68
m,13,AH,13,70
m,13,AH,14,73
m,13,AH,15,75
m,13,AH,16,77
m,13,AH,17,79
m,13,AH,18,82
m,13,AH,19,84
m,13,AH,20,86
m,13,AH,21,89
m,13,AH,22,90
m,13,AH,23,90
m,13,AH,24,90
m,13,AH,25,90
m,13,AH,26,90
m,13,AH,27,90
m,13,AH,28,90
m,13,AH,29,90
m,13,AH,30,90
m,13,AH,31,90
m,13,AH,32,90
m,13,AH,33,90
m,13,AH,34,90
m,13,AH,35,90
m,13,AH,36,90
m,13,AH,37,90
m,13,AH,38,90
m,13,AH,39,90
m,13,AH,40,90
m,14,AH,0,40
m,14,AH,1,43
m,14,AH,2,45
m,14,AH,3,47
m,14,AH,4,50
m,14,AH,5,52
m,14,AH,6,54
m,14,AH,7,56
m,14,AH,8,59
m,14,AH,9,61
m,14,AH,10,63
m,14,AH,11,66
m,14,AH,12,68
m,14,AH,13,70
m,14,AH,14,73
m,14,AH,15,75
m,14,AH,16,77
m,14,AH,17,79
m,14,AH,18,82
m,14,AH,19,84
m,14,AH,20,86
m,14,AH,21,89
m,14,AH,22,90
m,14,AH,23,90
m,14,AH,24,90
m,14,AH,25,90
m,14,AH,26,90
m,14,AH,27,90
m,14,AH,28,90
m,14,AH,29,90
m,14,AH,30,90
m,14,AH,31,90
m,14,AH,32,90
m,14,AH,33,90
m,14,AH,34,90
m,14,AH,35,90
m,14,AH,36,90
m,14,AH,37,90
m,14,AH,38,90
m,14,AH,39,90
m,14,AH,40,90
m,15,AH,0,41
m,15,AH,1,44
m,15,AH,2,47
m,15,AH,3,51
m,15,AH,4,54
m,15,AH,5,57
m,15,AH,6,60
m,15,AH,7,63
m,15,AH,8,66
m,15,AH,9,69
m,15,AH,10,72
m,15,AH,11,75
m,15,AH,12,78
m,15,AH,13,81
m,15,AH,14,84
m,15,AH,15,87
m,15,AH,16,90
m,15,AH,17,90
m,15,AH,18,90
m,15,AH,19,90
m,15,AH,20,90
m,15,AH,21,90
m,15,AH,22,90
m,15,AH,23,90
m,15,AH,24,90
m,15,AH,25,90
m,15,AH,26,90
m,15,AH,27,90
m,15,AH,28,90
m,15,AH,29,90
m,15,AH,30,90
m,15,AH,31,90
m,15,AH,32,90
m,15,AH,33,90
m,15,AH,34,90
m,15,AH,35,90
m,15,AH,36,90
m,15,AH,37,90
m,15,AH,38,90
m,15,AH,39,90
m,15,AH,40,90
m,16,AH,0,42
m,16,AH,1,45
m,16,AH,2,47
m,16,AH,3,50
m,16,AH,4,53
m,16,AH,5,56
m,16,AH,6,59
m,16,AH,7,61
m,16,AH,8,64
m,16,AH,9,67
m,16,AH,10,70
m,16,AH,11,73
m,16,AH,12,76
m,16,AH,13,78
m,16,AH,14,81
m,16,AH,15,84
m,16,AH,16,87
m,16,AH,17,90
m,16,AH,18,90
m,16,AH,19,90
m,16,AH,20,90
m,16,AH,21,90
m,16,AH,22,90
m,16,AH,23,90
m,16,AH,24,90
m,16,AH,25,90
m,16,AH,26,90
m,16,AH,27,90
m,16,AH,28,90
m,16,AH,29,90
m,16,AH,30,90
m,16,AH,31,90
m,16,AH,32,90
m,16,AH,33,90
m,16,AH,34,90
m,16,AH,35,90
m,16,AH,36,90
m,16,AH,37,90
m,16,AH,38,90
m,16,AH,39,90
m,16,AH,40,90
m,17,AH,0,43
m,17,AH,1,45
m,17,AH,2,48
m,17,AH,3,51
m,17,AH,4,54
m,17,AH,5,57
m,17,AH,6,60
m,17,AH,7,63
m,17,AH,8,66
m,17,AH,9,69
m,17,AH,10,71
m,17,AH,11,74
m,17,AH,12,77
m,17,AH,13,80
m,17,AH,14,83
m,17,AH,15,86
m,17,AH,16,89
m,17,AH,17,90
m,17,AH,18,90
m,17,AH,19,90
m,17,AH,20,90
m,17,AH,21,90
m,17,AH,22,90
m,17,AH,23,90
m,17,AH,24,90
m,17,AH,25,90
m,17,AH,26,90
m,17,AH,27,90
m,17,AH,28,90
m,17,AH,29,90
m,17,AH,30,90
m,17,AH,31,90
m,17,AH,32,90
m,17,AH,33,90
m,17,AH,34,90
m,17,AH,35,90
m,17,AH,36,90
m,17,AH,37,90
m,17,AH,38,90
m,17,AH,39,90
m,17,AH,40,90
m,18,AH,0,43
m,18,AH,1,45
m,18,AH,2,48
m,18,AH,3,51
m,18,AH,4,54
m,18,AH,5,57
m,18,AH,6,60
m,18,AH,7,63
m,18,AH,8,66
m,18,AH,9,69
m,18,AH,10,71
m,18,AH,11,74
m,18,AH,12,77
m,18,AH,13,80
m,18,AH,14,83
m,18,AH,15,86
m,18,AH,16,89
m,18,AH,17,90
m,18,AH,18,90
m,18,AH,19,90
m,18,AH,20,90
m,18,AH,21,90
m,18,AH,22,90
m,18,AH,23,90
m,18,AH,24,90
m,18,AH,25,90
m,18,AH,26,90
m,18,AH,27,90
m,18,AH,28,90
m,18,AH,29,90
m,18,AH,30,90
m,18,AH,31,90
m,18,AH,32,90
m,18,AH,33,90
m,18,AH,34,90
m,18,AH,35,90
m,18,AH,36,90
m,18,AH,37,90
m,18,AH,38,90
m,18,AH,39,90
m,18,AH,40,90
