Pohlaví,Věk,Kategorie,Body,T-skór
Z,13,C,0,26
Z,14,C,0,26
Z,15,C,0,26
Z,16,C,0,26
Z,17,C,0,26
Z,13,C,1,50
Z,14,C,1,50
Z,15,C,1,50
Z,16,C,1,50
Z,17,C,1,50
Z,13,C,2,74
Z,14,C,2,74
Z,15,C,2,74
Z,16,C,2,74
Z,17,C,2,74
Z,13,C,3,88
Z,14,C,3,88
Z,15,C,3,88
Z,16,C,3,88
Z,17,C,3,88
Z,13,C,4,97
Z,14,C,4,97
Z,15,C,4,97
Z,16,C,4,97
Z,17,C,4,97
Z,13,C,5,98
Z,14,C,5,98
Z,15,C,5,98
Z,16,C,5,98
Z,17,C,5,98
Z,13,C,6,98
Z,14,C,6,98
Z,15,C,6,98
Z,16,C,6,98
Z,17,C,6,98
Z,13,C,7,98
Z,14,C,7,98
Z,15,C,7,98
Z,16,C,7,98
Z,17,C,7,98
Z,13,C,8,98
Z,14,C,8,98
Z,15,C,8,98
Z,16,C,8,98
Z,17,C,8,98
