Pohlaví,Věk,Kategorie,Body,T-skór
m,12,EF,0,40
m,12,EF,1,40
m,12,EF,2,40
m,12,EF,3,42
m,12,EF,4,43
m,12,EF,5,45
m,12,EF,6,47
m,12,EF,7,48
m,12,EF,8,50
m,12,EF,9,51
m,12,EF,10,53
m,12,EF,11,54
m,12,EF,12,56
m,12,EF,13,58
m,12,EF,14,59
m,12,EF,15,61
m,12,EF,16,62
m,12,EF,17,64
m,12,EF,18,66
m,12,EF,19,67
m,12,EF,20,69
m,12,EF,21,70
m,12,EF,22,72
m,12,EF,23,73
m,12,EF,24,75
m,12,EF,25,77
m,12,EF,26,78
m,12,EF,27,80
m,12,EF,28,90
m,12,EF,29,90
m,12,EF,30,90
m,12,EF,31,90
m,12,EF,32,90
m,12,EF,33,90
m,12,EF,34,90
m,12,EF,35,90
m,12,EF,36,90
m,12,EF,37,90
m,12,EF,38,90
m,12,EF,39,90
m,12,EF,40,90
m,13,EF,0,40
m,13,EF,1,40
m,13,EF,2,40
m,13,EF,3,41
m,13,EF,4,43
m,13,EF,5,45
m,13,EF,6,47
m,13,EF,7,49
m,13,EF,8,50
m,13,EF,9,52
m,13,EF,10,54
m,13,EF,11,56
m,13,EF,12,58
m,13,EF,13,60
m,13,EF,14,62
m,13,EF,15,64
m,13,EF,16,65
m,13,EF,17,67
m,13,EF,18,69
m,13,EF,19,71
m,13,EF,20,73
m,13,EF,21,75
m,13,EF,22,77
m,13,EF,23,79
m,13,EF,24,80
m,13,EF,25,82
m,13,EF,26,84
m,13,EF,27,86
m,13,EF,28,90
m,13,EF,29,90
m,13,EF,30,90
m,13,EF,31,90
m,13,EF,32,90
m,13,EF,33,90
m,13,EF,34,90
m,13,EF,35,90
m,13,EF,36,90
m,13,EF,37,90
m,13,EF,38,90
m,13,EF,39,90
m,13,EF,40,90
m,14,EF,0,40
m,14,EF,1,40
m,14,EF,2,40
m,14,EF,3,41
m,14,EF,4,42
m,14,EF,5,44
m,14,EF,6,46
m,14,EF,7,48
m,14,EF,8,50
m,14,EF,9,51
m,14,EF,10,53
m,14,EF,11,55
m,14,EF,12,57
m,14,EF,13,59
m,14,EF,14,60
m,14,EF,15,62
m,14,EF,16,64
m,14,EF,17,66
m,14,EF,18,68
m,14,EF,19,69
m,14,EF,20,71
m,14,EF,21,73
m,14,EF,22,75
m,14,EF,23,77
m,14,EF,24,78
m,14,EF,25,80
m,14,EF,26,82
m,14,EF,27,84
m,14,EF,28,90
m,14,EF,29,90
m,14,EF,30,90
m,14,EF,31,90
m,14,EF,32,90
m,14,EF,33,90
m,14,EF,34,90
m,14,EF,35,90
m,14,EF,36,90
m,14,EF,37,90
m,14,EF,38,90
m,14,EF,39,90
m,14,EF,40,90
m,15,EF,0,40
m,15,EF,1,40
m,15,EF,2,40
m,15,EF,3,42
m,15,EF,4,44
m,15,EF,5,46
m,15,EF,6,48
m,15,EF,7,49
m,15,EF,8,51
m,15,EF,9,53
m,15,EF,10,55
m,15,EF,11,57
m,15,EF,12,59
m,15,EF,13,61
m,15,EF,14,63
m,15,EF,15,65
m,15,EF,16,67
m,15,EF,17,69
m,15,EF,18,70
m,15,EF,19,72
m,15,EF,20,74
m,15,EF,21,76
m,15,EF,22,78
m,15,EF,23,80
m,15,EF,24,82
m,15,EF,25,84
m,15,EF,26,86
m,15,EF,27,88
m,15,EF,28,90
m,15,EF,29,90
m,15,EF,30,90
m,15,EF,31,90
m,15,EF,32,90
m,15,EF,33,90
m,15,EF,34,90
m,15,EF,35,90
m,15,EF,36,90
m,15,EF,37,90
m,15,EF,38,90
m,15,EF,39,90
m,15,EF,40,90
m,16,EF,0,40
m,16,EF,1,40
m,16,EF,2,40
m,16,EF,3,42
m,16,EF,4,44
m,16,EF,5,45
m,16,EF,6,47
m,16,EF,7,49
m,16,EF,8,51
m,16,EF,9,53
m,16,EF,10,55
m,16,EF,11,57
m,16,EF,12,58
m,16,EF,13,60
m,16,EF,14,62
m,16,EF,15,64
m,16,EF,16,66
m,16,EF,17,68
m,16,EF,18,69
m,16,EF,19,71
m,16,EF,20,73
m,16,EF,21,75
m,16,EF,22,77
m,16,EF,23,79
m,16,EF,24,81
m,16,EF,25,82
m,16,EF,26,84
m,16,EF,27,86
m,16,EF,28,90
m,16,EF,29,90
m,16,EF,30,90
m,16,EF,31,90
m,16,EF,32,90
m,16,EF,33,90
m,16,EF,34,90
m,16,EF,35,90
m,16,EF,36,90
m,16,EF,37,90
m,16,EF,38,90
m,16,EF,39,90
m,16,EF,40,90
m,17,EF,0,40
m,17,EF,1,40
m,17,EF,2,40
m,17,EF,3,42
m,17,EF,4,44
m,17,EF,5,45
m,17,EF,6,47
m,17,EF,7,49
m,17,EF,8,51
m,17,EF,9,53
m,17,EF,10,55
m,17,EF,11,57
m,17,EF,12,58
m,17,EF,13,60
m,17,EF,14,62
m,17,EF,15,64
m,17,EF,16,66
m,17,EF,17,68
m,17,EF,18,69
m,17,EF,19,71
m,17,EF,20,73
m,17,EF,21,75
m,17,EF,22,77
m,17,EF,23,79
m,17,EF,24,81
m,17,EF,25,82
m,17,EF,26,84
m,17,EF,27,86
m,17,EF,28,90
m,17,EF,29,90
m,17,EF,30,90
m,17,EF,31,90
m,17,EF,32,90
m,17,EF,33,90
m,17,EF,34,90
m,17,EF,35,90
m,17,EF,36,90
m,17,EF,37,90
m,17,EF,38,90
m,17,EF,39,90
m,17,EF,40,90
m,18,EF,0,40
m,18,EF,1,40
m,18,EF,2,40
m,18,EF,3,42
m,18,EF,4,44
m,18,EF,5,45
m,18,EF,6,47
m,18,EF,7,49
m,18,EF,8,51
m,18,EF,9,53
m,18,EF,10,55
m,18,EF,11,57
m,18,EF,12,58
m,18,EF,13,60
m,18,EF,14,62
m,18,EF,15,64
m,18,EF,16,66
m,18,EF,17,68
m,18,EF,18,69
m,18,EF,19,71
m,18,EF,20,73
m,18,EF,21,75
m,18,EF,22,77
m,18,EF,23,79
m,18,EF,24,81
m,18,EF,25,82
m,18,EF,26,84
m,18,EF,27,86
m,18,EF,28,90
m,18,EF,29,90
m,18,EF,30,90
m,18,EF,31,90
m,18,EF,32,90
m,18,EF,33,90
m,18,EF,34,90
m,18,EF,35,90
m,18,EF,36,90
m,18,EF,37,90
m,18,EF,38,90
m,18,EF,39,90
m,18,EF,40,90
