Pohlaví,Věk,Kategorie,Body,T-skór
Z,7,E,0,28
Z,8,E,0,28
Z,9,E,0,28
Z,10,E,0,28
Z,11,E,0,28
Z,12,E,0,28
Z,7,E,1,53
Z,8,E,1,53
Z,9,E,1,53
Z,10,E,1,53
Z,11,E,1,53
Z,12,E,1,53
Z,7,E,2,74
Z,8,E,2,74
Z,9,E,2,74
Z,10,E,2,74
Z,11,E,2,74
Z,12,E,2,74
Z,7,E,3,86
Z,8,E,3,86
Z,9,E,3,86
Z,10,E,3,86
Z,11,E,3,86
Z,12,E,3,86
Z,7,E,4,91
Z,8,E,4,91
Z,9,E,4,91
Z,10,E,4,91
Z,11,E,4,91
Z,12,E,4,91
Z,7,E,5,95
Z,8,E,5,95
Z,9,E,5,95
Z,10,E,5,95
Z,11,E,5,95
Z,12,E,5,95
Z,7,E,6,97
Z,8,E,6,97
Z,9,E,6,97
Z,10,E,6,97
Z,11,E,6,97
Z,12,E,6,97
Z,7,E,7,98
Z,8,E,7,98
Z,9,E,7,98
Z,10,E,7,98
Z,11,E,7,98
Z,12,E,7,98
Z,7,E,8,98
Z,8,E,8,98
Z,9,E,8,98
Z,10,E,8,98
Z,11,E,8,98
Z,12,E,8,98
Z,7,E,9,98
Z,8,E,9,98
Z,9,E,9,98
Z,10,E,9,98
Z,11,E,9,98
Z,12,E,9,98
Z,7,E,10,98
Z,8,E,10,98
Z,9,E,10,98
Z,10,E,10,98
Z,11,E,10,98
Z,12,E,10,98
