Pohlaví,Věk,Kategorie,Body,T-skór
z,6,OD,0,40
z,6,OD,1,43
z,6,OD,2,46
z,6,OD,3,49
z,6,OD,4,52
z,6,OD,5,55
z,6,OD,6,57
z,6,OD,7,60
z,6,OD,8,63
z,6,OD,9,66
z,6,OD,10,69
z,6,OD,11,72
z,6,OD,12,74
z,6,OD,13,77
z,6,OD,14,80
z,6,OD,15,83
z,6,OD,16,86
z,6,OD,17,89
z,6,OD,18,90
z,6,OD,19,90
z,6,OD,20,90
z,6,OD,21,90
z,6,OD,22,90
z,6,OD,23,90
z,6,OD,24,90
z,6,OD,25,90
z,6,OD,26,90
z,6,OD,27,90
z,6,OD,28,90
z,6,OD,29,90
z,6,OD,30,90
z,6,OD,31,90
z,6,OD,32,90
z,6,OD,33,90
z,6,OD,34,90
z,6,OD,35,90
z,6,OD,36,90
z,6,OD,37,90
z,6,OD,38,90
z,6,OD,39,90
z,6,OD,40,90
z,7,OD,0,41
z,7,OD,1,44
z,7,OD,2,47
z,7,OD,3,50
z,7,OD,4,53
z,7,OD,5,56
z,7,OD,6,59
z,7,OD,7,62
z,7,OD,8,65
z,7,OD,9,67
z,7,OD,10,70
z,7,OD,11,73
z,7,OD,12,76
z,7,OD,13,79
z,7,OD,14,82
z,7,OD,15,85
z,7,OD,16,88
z,7,OD,17,90
z,7,OD,18,90
z,7,OD,19,90
z,7,OD,20,90
z,7,OD,21,90
z,7,OD,22,90
z,7,OD,23,90
z,7,OD,24,90
z,7,OD,25,90
z,7,OD,26,90
z,7,OD,27,90
z,7,OD,28,90
z,7,OD,29,90
z,7,OD,30,90
z,7,OD,31,90
z,7,OD,32,90
z,7,OD,33,90
z,7,OD,34,90
z,7,OD,35,90
z,7,OD,36,90
z,7,OD,37,90
z,7,OD,38,90
z,7,OD,39,90
z,7,OD,40,90
z,8,OD,0,40
z,8,OD,1,42
z,8,OD,2,45
z,8,OD,3,48
z,8,OD,4,52
z,8,OD,5,55
z,8,OD,6,58
z,8,OD,7,61
z,8,OD,8,65
z,8,OD,9,68
z,8,OD,10,71
z,8,OD,11,74
z,8,OD,12,78
z,8,OD,13,81
z,8,OD,14,84
z,8,OD,15,87
z,8,OD,16,90
z,8,OD,17,90
z,8,OD,18,90
z,8,OD,19,90
z,8,OD,20,90
z,8,OD,21,90
z,8,OD,22,90
z,8,OD,23,90
z,8,OD,24,90
z,8,OD,25,90
z,8,OD,26,90
z,8,OD,27,90
z,8,OD,28,90
z,8,OD,29,90
z,8,OD,30,90
z,8,OD,31,90
z,8,OD,32,90
z,8,OD,33,90
z,8,OD,34,90
z,8,OD,35,90
z,8,OD,36,90
z,8,OD,37,90
z,8,OD,38,90
z,8,OD,39,90
z,8,OD,40,90
z,9,OD,0,40
z,9,OD,1,44
z,9,OD,2,47
z,9,OD,3,51
z,9,OD,4,54
z,9,OD,5,58
z,9,OD,6,61
z,9,OD,7,65
z,9,OD,8,68
z,9,OD,9,72
z,9,OD,10,76
z,9,OD,11,79
z,9,OD,12,83
z,9,OD,13,86
z,9,OD,14,90
z,9,OD,15,90
z,9,OD,16,90
z,9,OD,17,90
z,9,OD,18,90
z,9,OD,19,90
z,9,OD,20,90
z,9,OD,21,90
z,9,OD,22,90
z,9,OD,23,90
z,9,OD,24,90
z,9,OD,25,90
z,9,OD,26,90
z,9,OD,27,90
z,9,OD,28,90
z,9,OD,29,90
z,9,OD,30,90
z,9,OD,31,90
z,9,OD,32,90
z,9,OD,33,90
z,9,OD,34,90
z,9,OD,35,90
z,9,OD,36,90
z,9,OD,37,90
z,9,OD,38,90
z,9,OD,39,90
z,9,OD,40,90
z,10,OD,0,40
z,10,OD,1,44
z,10,OD,2,48
z,10,OD,3,52
z,10,OD,4,56
z,10,OD,5,59
z,10,OD,6,63
z,10,OD,7,67
z,10,OD,8,71
z,10,OD,9,75
z,10,OD,10,78
z,10,OD,11,82
z,10,OD,12,86
z,10,OD,13,90
z,10,OD,14,90
z,10,OD,15,90
z,10,OD,16,90
z,10,OD,17,90
z,10,OD,18,90
z,10,OD,19,90
z,10,OD,20,90
z,10,OD,21,90
z,10,OD,22,90
z,10,OD,23,90
z,10,OD,24,90
z,10,OD,25,90
z,10,OD,26,90
z,10,OD,27,90
z,10,OD,28,90
z,10,OD,29,90
z,10,OD,30,90
z,10,OD,31,90
z,10,OD,32,90
z,10,OD,33,90
z,10,OD,34,90
z,10,OD,35,90
z,10,OD,36,90
z,10,OD,37,90
z,10,OD,38,90
z,10,OD,39,90
z,10,OD,40,90
z,11,OD,0,41
z,11,OD,1,44
z,11,OD,2,46
z,11,OD,3,49
z,11,OD,4,52
z,11,OD,5,55
z,11,OD,6,58
z,11,OD,7,61
z,11,OD,8,64
z,11,OD,9,67
z,11,OD,10,70
z,11,OD,11,72
z,11,OD,12,75
z,11,OD,13,78
z,11,OD,14,81
z,11,OD,15,84
z,11,OD,16,87
z,11,OD,17,90
z,11,OD,18,90
z,11,OD,19,90
z,11,OD,20,90
z,11,OD,21,90
z,11,OD,22,90
z,11,OD,23,90
z,11,OD,24,90
z,11,OD,25,90
z,11,OD,26,90
z,11,OD,27,90
z,11,OD,28,90
z,11,OD,29,90
z,11,OD,30,90
z,11,OD,31,90
z,11,OD,32,90
z,11,OD,33,90
z,11,OD,34,90
z,11,OD,35,90
z,11,OD,36,90
z,11,OD,37,90
z,11,OD,38,90
z,11,OD,39,90
z,11,OD,40,90
