Pohlaví,Věk,Kategorie,Body,T-skór
z,6,GI,0,40
z,6,GI,1,40
z,6,GI,2,42
z,6,GI,3,44
z,6,GI,4,47
z,6,GI,5,49
z,6,GI,6,52
z,6,GI,7,54
z,6,GI,8,57
z,6,GI,9,60
z,6,GI,10,62
z,6,GI,11,65
z,6,GI,12,67
z,6,GI,13,70
z,6,GI,14,72
z,6,GI,15,75
z,6,GI,16,78
z,6,GI,17,80
z,6,GI,18,83
z,6,GI,19,85
z,6,GI,20,88
z,6,GI,21,90
z,6,GI,22,90
z,6,GI,23,90
z,6,GI,24,90
z,6,GI,25,90
z,6,GI,26,90
z,6,GI,27,90
z,6,GI,28,90
z,6,GI,29,90
z,6,GI,30,90
z,6,GI,31,90
z,6,GI,32,90
z,6,GI,33,90
z,6,GI,34,90
z,6,GI,35,90
z,6,GI,36,90
z,6,GI,37,90
z,6,GI,38,90
z,6,GI,39,90
z,6,GI,40,90
z,7,GI,0,40
z,7,GI,1,41
z,7,GI,2,44
z,7,GI,3,46
z,7,GI,4,48
z,7,GI,5,51
z,7,GI,6,53
z,7,GI,7,56
z,7,GI,8,58
z,7,GI,9,61
z,7,GI,10,63
z,7,GI,11,66
z,7,GI,12,68
z,7,GI,13,70
z,7,GI,14,73
z,7,GI,15,75
z,7,GI,16,78
z,7,GI,17,80
z,7,GI,18,83
z,7,GI,19,85
z,7,GI,20,88
z,7,GI,21,90
z,7,GI,22,90
z,7,GI,23,90
z,7,GI,24,90
z,7,GI,25,90
z,7,GI,26,90
z,7,GI,27,90
z,7,GI,28,90
z,7,GI,29,90
z,7,GI,30,90
z,7,GI,31,90
z,7,GI,32,90
z,7,GI,33,90
z,7,GI,34,90
z,7,GI,35,90
z,7,GI,36,90
z,7,GI,37,90
z,7,GI,38,90
z,7,GI,39,90
z,7,GI,40,90
z,8,GI,0,40
z,8,GI,1,40
z,8,GI,2,43
z,8,GI,3,45
z,8,GI,4,48
z,8,GI,5,50
z,8,GI,6,53
z,8,GI,7,56
z,8,GI,8,58
z,8,GI,9,61
z,8,GI,10,63
z,8,GI,11,66
z,8,GI,12,68
z,8,GI,13,71
z,8,GI,14,73
z,8,GI,15,76
z,8,GI,16,78
z,8,GI,17,81
z,8,GI,18,84
z,8,GI,19,86
z,8,GI,20,89
z,8,GI,21,90
z,8,GI,22,90
z,8,GI,23,90
z,8,GI,24,90
z,8,GI,25,90
z,8,GI,26,90
z,8,GI,27,90
z,8,GI,28,90
z,8,GI,29,90
z,8,GI,30,90
z,8,GI,31,90
z,8,GI,32,90
z,8,GI,33,90
z,8,GI,34,90
z,8,GI,35,90
z,8,GI,36,90
z,8,GI,37,90
z,8,GI,38,90
z,8,GI,39,90
z,8,GI,40,90
z,9,GI,0,40
z,9,GI,1,42
z,9,GI,2,44
z,9,GI,3,46
z,9,GI,4,49
z,9,GI,5,51
z,9,GI,6,53
z,9,GI,7,55
z,9,GI,8,57
z,9,GI,9,60
z,9,GI,10,62
z,9,GI,11,64
z,9,GI,12,66
z,9,GI,13,68
z,9,GI,14,70
z,9,GI,15,73
z,9,GI,16,75
z,9,GI,17,77
z,9,GI,18,79
z,9,GI,19,81
z,9,GI,20,84
z,9,GI,21,86
z,9,GI,22,88
z,9,GI,23,90
z,9,GI,24,90
z,9,GI,25,90
z,9,GI,26,90
z,9,GI,27,90
z,9,GI,28,90
z,9,GI,29,90
z,9,GI,30,90
z,9,GI,31,90
z,9,GI,32,90
z,9,GI,33,90
z,9,GI,34,90
z,9,GI,35,90
z,9,GI,36,90
z,9,GI,37,90
z,9,GI,38,90
z,9,GI,39,90
z,9,GI,40,90
z,10,GI,0,40
z,10,GI,1,43
z,10,GI,2,45
z,10,GI,3,48
z,10,GI,4,50
z,10,GI,5,53
z,10,GI,6,55
z,10,GI,7,58
z,10,GI,8,60
z,10,GI,9,63
z,10,GI,10,65
z,10,GI,11,68
z,10,GI,12,70
z,10,GI,13,73
z,10,GI,14,76
z,10,GI,15,78
z,10,GI,16,81
z,10,GI,17,83
z,10,GI,18,86
z,10,GI,19,88
z,10,GI,20,90
z,10,GI,21,90
z,10,GI,22,90
z,10,GI,23,90
z,10,GI,24,90
z,10,GI,25,90
z,10,GI,26,90
z,10,GI,27,90
z,10,GI,28,90
z,10,GI,29,90
z,10,GI,30,90
z,10,GI,31,90
z,10,GI,32,90
z,10,GI,33,90
z,10,GI,34,90
z,10,GI,35,90
z,10,GI,36,90
z,10,GI,37,90
z,10,GI,38,90
z,10,GI,39,90
z,10,GI,40,90
z,11,GI,0,40
z,11,GI,1,43
z,11,GI,2,45
z,11,GI,3,48
z,11,GI,4,50
z,11,GI,5,53
z,11,GI,6,55
z,11,GI,7,58
z,11,GI,8,60
z,11,GI,9,63
z,11,GI,10,65
z,11,GI,11,68
z,11,GI,12,70
z,11,GI,13,73
z,11,GI,14,75
z,11,GI,15,78
z,11,GI,16,80
z,11,GI,17,83
z,11,GI,18,85
z,11,GI,19,88
z,11,GI,20,90
z,11,GI,21,90
z,11,GI,22,90
z,11,GI,23,90
z,11,GI,24,90
z,11,GI,25,90
z,11,GI,26,90
z,11,GI,27,90
z,11,GI,28,90
z,11,GI,29,90
z,11,GI,30,90
z,11,GI,31,90
z,11,GI,32,90
z,11,GI,33,90
z,11,GI,34,90
z,11,GI,35,90
z,11,GI,36,90
z,11,GI,37,90
z,11,GI,38,90
z,11,GI,39,90
z,11,GI,40,90
