Pohlaví,Věk,Kategorie,Body,T-skór
z,12,PR,0,43
z,12,PR,1,48
z,12,PR,2,53
z,12,PR,3,58
z,12,PR,4,63
z,12,PR,5,68
z,12,PR,6,73
z,12,PR,7,79
z,12,PR,8,84
z,12,PR,9,89
z,12,PR,10,90
z,12,PR,11,90
z,12,PR,12,90
z,12,PR,13,90
z,12,PR,14,90
z,12,PR,15,90
z,12,PR,16,90
z,12,PR,17,90
z,12,PR,18,90
z,12,PR,19,90
z,12,PR,20,90
z,12,PR,21,90
z,12,PR,22,90
z,12,PR,23,90
z,12,PR,24,90
z,12,PR,25,90
z,12,PR,26,90
z,12,PR,27,90
z,12,PR,28,90
z,12,PR,29,90
z,12,PR,30,90
z,12,PR,31,90
z,12,PR,32,90
z,12,PR,33,90
z,12,PR,34,90
z,12,PR,35,90
z,12,PR,36,90
z,12,PR,37,90
z,12,PR,38,90
z,12,PR,39,90
z,12,PR,40,90
z,13,PR,0,44
z,13,PR,1,49
z,13,PR,2,53
z,13,PR,3,58
z,13,PR,4,63
z,13,PR,5,67
z,13,PR,6,72
z,13,PR,7,77
z,13,PR,8,81
z,13,PR,9,86
z,13,PR,10,90
z,13,PR,11,90
z,13,PR,12,90
z,13,PR,13,90
z,13,PR,14,90
z,13,PR,15,90
z,13,PR,16,90
z,13,PR,17,90
z,13,PR,18,90
z,13,PR,19,90
z,13,PR,20,90
z,13,PR,21,90
z,13,PR,22,90
z,13,PR,23,90
z,13,PR,24,90
z,13,PR,25,90
z,13,PR,26,90
z,13,PR,27,90
z,13,PR,28,90
z,13,PR,29,90
z,13,PR,30,90
z,13,PR,31,90
z,13,PR,32,90
z,13,PR,33,90
z,13,PR,34,90
z,13,PR,35,90
z,13,PR,36,90
z,13,PR,37,90
z,13,PR,38,90
z,13,PR,39,90
z,13,PR,40,90
z,14,PR,0,43
z,14,PR,1,48
z,14,PR,2,54
z,14,PR,3,59
z,14,PR,4,64
z,14,PR,5,70
z,14,PR,6,75
z,14,PR,7,80
z,14,PR,8,86
z,14,PR,9,90
z,14,PR,10,90
z,14,PR,11,90
z,14,PR,12,90
z,14,PR,13,90
z,14,PR,14,90
z,14,PR,15,90
z,14,PR,16,90
z,14,PR,17,90
z,14,PR,18,90
z,14,PR,19,90
z,14,PR,20,90
z,14,PR,21,90
z,14,PR,22,90
z,14,PR,23,90
z,14,PR,24,90
z,14,PR,25,90
z,14,PR,26,90
z,14,PR,27,90
z,14,PR,28,90
z,14,PR,29,90
z,14,PR,30,90
z,14,PR,31,90
z,14,PR,32,90
z,14,PR,33,90
z,14,PR,34,90
z,14,PR,35,90
z,14,PR,36,90
z,14,PR,37,90
z,14,PR,38,90
z,14,PR,39,90
z,14,PR,40,90
z,15,PR,0,43
z,15,PR,1,48
z,15,PR,2,54
z,15,PR,3,59
z,15,PR,4,64
z,15,PR,5,70
z,15,PR,6,75
z,15,PR,7,80
z,15,PR,8,86
z,15,PR,9,90
z,15,PR,10,90
z,15,PR,11,90
z,15,PR,12,90
z,15,PR,13,90
z,15,PR,14,90
z,15,PR,15,90
z,15,PR,16,90
z,15,PR,17,90
z,15,PR,18,90
z,15,PR,19,90
z,15,PR,20,90
z,15,PR,21,90
z,15,PR,22,90
z,15,PR,23,90
z,15,PR,24,90
z,15,PR,25,90
z,15,PR,26,90
z,15,PR,27,90
z,15,PR,28,90
z,15,PR,29,90
z,15,PR,30,90
z,15,PR,31,90
z,15,PR,32,90
z,15,PR,33,90
z,15,PR,34,90
z,15,PR,35,90
z,15,PR,36,90
z,15,PR,37,90
z,15,PR,38,90
z,15,PR,39,90
z,15,PR,40,90
z,16,PR,0,43
z,16,PR,1,48
z,16,PR,2,53
z,16,PR,3,58
z,16,PR,4,63
z,16,PR,5,68
z,16,PR,6,73
z,16,PR,7,78
z,16,PR,8,83
z,16,PR,9,88
z,16,PR,10,90
z,16,PR,11,90
z,16,PR,12,90
z,16,PR,13,90
z,16,PR,14,90
z,16,PR,15,90
z,16,PR,16,90
z,16,PR,17,90
z,16,PR,18,90
z,16,PR,19,90
z,16,PR,20,90
z,16,PR,21,90
z,16,PR,22,90
z,16,PR,23,90
z,16,PR,24,90
z,16,PR,25,90
z,16,PR,26,90
z,16,PR,27,90
z,16,PR,28,90
z,16,PR,29,90
z,16,PR,30,90
z,16,PR,31,90
z,16,PR,32,90
z,16,PR,33,90
z,16,PR,34,90
z,16,PR,35,90
z,16,PR,36,90
z,16,PR,37,90
z,16,PR,38,90
z,16,PR,39,90
z,16,PR,40,90
z,17,PR,0,44
z,17,PR,1,48
z,17,PR,2,53
z,17,PR,3,58
z,17,PR,4,62
z,17,PR,5,67
z,17,PR,6,72
z,17,PR,7,76
z,17,PR,8,81
z,17,PR,9,86
z,17,PR,10,90
z,17,PR,11,90
z,17,PR,12,90
z,17,PR,13,90
z,17,PR,14,90
z,17,PR,15,90
z,17,PR,16,90
z,17,PR,17,90
z,17,PR,18,90
z,17,PR,19,90
z,17,PR,20,90
z,17,PR,21,90
z,17,PR,22,90
z,17,PR,23,90
z,17,PR,24,90
z,17,PR,25,90
z,17,PR,26,90
z,17,PR,27,90
z,17,PR,28,90
z,17,PR,29,90
z,17,PR,30,90
z,17,PR,31,90
z,17,PR,32,90
z,17,PR,33,90
z,17,PR,34,90
z,17,PR,35,90
z,17,PR,36,90
z,17,PR,37,90
z,17,PR,38,90
z,17,PR,39,90
z,17,PR,40,90
z,18,PR,0,44
z,18,PR,1,48
z,18,PR,2,53
z,18,PR,3,58
z,18,PR,4,62
z,18,PR,5,67
z,18,PR,6,72
z,18,PR,7,76
z,18,PR,8,81
z,18,PR,9,86
z,18,PR,10,90
z,18,PR,11,90
z,18,PR,12,90
z,18,PR,13,90
z,18,PR,14,90
z,18,PR,15,90
z,18,PR,16,90
z,18,PR,17,90
z,18,PR,18,90
z,18,PR,19,90
z,18,PR,20,90
z,18,PR,21,90
z,18,PR,22,90
z,18,PR,23,90
z,18,PR,24,90
z,18,PR,25,90
z,18,PR,26,90
z,18,PR,27,90
z,18,PR,28,90
z,18,PR,29,90
z,18,PR,30,90
z,18,PR,31,90
z,18,PR,32,90
z,18,PR,33,90
z,18,PR,34,90
z,18,PR,35,90
z,18,PR,36,90
z,18,PR,37,90
z,18,PR,38,90
z,18,PR,39,90
z,18,PR,40,90
