Pohlaví,Věk,Kategorie,Body,T-skór
m,6,HY,0,40
m,6,HY,1,40
m,6,HY,2,40
m,6,HY,3,41
m,6,HY,4,42
m,6,HY,5,44
m,6,HY,6,46
m,6,HY,7,47
m,6,HY,8,49
m,6,HY,9,51
m,6,HY,10,52
m,6,HY,11,54
m,6,HY,12,56
m,6,HY,13,57
m,6,HY,14,59
m,6,HY,15,61
m,6,HY,16,62
m,6,HY,17,64
m,6,HY,18,66
m,6,HY,19,67
m,6,HY,20,69
m,6,HY,21,71
m,6,HY,22,72
m,6,HY,23,74
m,6,HY,24,76
m,6,HY,25,78
m,6,HY,26,79
m,6,HY,27,81
m,6,HY,28,83
m,6,HY,29,84
m,6,HY,30,86
m,6,HY,31,88
m,6,HY,32,89
m,6,HY,33,90
m,6,HY,34,90
m,6,HY,35,90
m,6,HY,36,90
m,6,HY,37,90
m,6,HY,38,90
m,6,HY,39,90
m,6,HY,40,90
m,7,HY,0,40
m,7,HY,1,40
m,7,HY,2,40
m,7,HY,3,42
m,7,HY,4,43
m,7,HY,5,45
m,7,HY,6,46
m,7,HY,7,47
m,7,HY,8,49
m,7,HY,9,50
m,7,HY,10,52
m,7,HY,11,53
m,7,HY,12,54
m,7,HY,13,56
m,7,HY,14,57
m,7,HY,15,59
m,7,HY,16,60
m,7,HY,17,61
m,7,HY,18,63
m,7,HY,19,64
m,7,HY,20,66
m,7,HY,21,67
m,7,HY,22,68
m,7,HY,23,70
m,7,HY,24,71
m,7,HY,25,73
m,7,HY,26,74
m,7,HY,27,76
m,7,HY,28,77
m,7,HY,29,78
m,7,HY,30,80
m,7,HY,31,81
m,7,HY,32,83
m,7,HY,33,84
m,7,HY,34,85
m,7,HY,35,87
m,7,HY,36,88
m,7,HY,37,90
m,7,HY,38,90
m,7,HY,39,90
m,7,HY,40,90
m,8,HY,0,40
m,8,HY,1,41
m,8,HY,2,42
m,8,HY,3,44
m,8,HY,4,45
m,8,HY,5,47
m,8,HY,6,48
m,8,HY,7,50
m,8,HY,8,51
m,8,HY,9,52
m,8,HY,10,54
m,8,HY,11,55
m,8,HY,12,57
m,8,HY,13,58
m,8,HY,14,60
m,8,HY,15,61
m,8,HY,16,63
m,8,HY,17,64
m,8,HY,18,66
m,8,HY,19,67
m,8,HY,20,69
m,8,HY,21,70
m,8,HY,22,72
m,8,HY,23,73
m,8,HY,24,75
m,8,HY,25,76
m,8,HY,26,78
m,8,HY,27,79
m,8,HY,28,81
m,8,HY,29,82
m,8,HY,30,84
m,8,HY,31,85
m,8,HY,32,87
m,8,HY,33,88
m,8,HY,34,90
m,8,HY,35,90
m,8,HY,36,90
m,8,HY,37,90
m,8,HY,38,90
m,8,HY,39,90
m,8,HY,40,90
m,9,HY,0,40
m,9,HY,1,40
m,9,HY,2,41
m,9,HY,3,43
m,9,HY,4,44
m,9,HY,5,46
m,9,HY,6,47
m,9,HY,7,49
m,9,HY,8,50
m,9,HY,9,52
m,9,HY,10,53
m,9,HY,11,55
m,9,HY,12,56
m,9,HY,13,58
m,9,HY,14,59
m,9,HY,15,61
m,9,HY,16,62
m,9,HY,17,64
m,9,HY,18,65
m,9,HY,19,66
m,9,HY,20,68
m,9,HY,21,69
m,9,HY,22,71
m,9,HY,23,72
m,9,HY,24,74
m,9,HY,25,75
m,9,HY,26,77
m,9,HY,27,78
m,9,HY,28,80
m,9,HY,29,81
m,9,HY,30,83
m,9,HY,31,84
m,9,HY,32,86
m,9,HY,33,87
m,9,HY,34,89
m,9,HY,35,90
m,9,HY,36,90
m,9,HY,37,90
m,9,HY,38,90
m,9,HY,39,90
m,9,HY,40,90
m,10,HY,0,40
m,10,HY,1,41
m,10,HY,2,43
m,10,HY,3,45
m,10,HY,4,46
m,10,HY,5,48
m,10,HY,6,50
m,10,HY,7,52
m,10,HY,8,53
m,10,HY,9,55
m,10,HY,10,57
m,10,HY,11,58
m,10,HY,12,60
m,10,HY,13,62
m,10,HY,14,63
m,10,HY,15,65
m,10,HY,16,67
m,10,HY,17,68
m,10,HY,18,70
m,10,HY,19,72
m,10,HY,20,74
m,10,HY,21,75
m,10,HY,22,77
m,10,HY,23,79
m,10,HY,24,80
m,10,HY,25,82
m,10,HY,26,84
m,10,HY,27,85
m,10,HY,28,87
m,10,HY,29,89
m,10,HY,30,90
m,10,HY,31,90
m,10,HY,32,90
m,10,HY,33,90
m,10,HY,34,90
m,10,HY,35,90
m,10,HY,36,90
m,10,HY,37,90
m,10,HY,38,90
m,10,HY,39,90
m,10,HY,40,90
m,11,HY,0,40
m,11,HY,1,41
m,11,HY,2,43
m,11,HY,3,45
m,11,HY,4,47
m,11,HY,5,49
m,11,HY,6,51
m,11,HY,7,53
m,11,HY,8,55
m,11,HY,9,57
m,11,HY,10,59
m,11,HY,11,61
m,11,HY,12,63
m,11,HY,13,65
m,11,HY,14,67
m,11,HY,15,69
m,11,HY,16,71
m,11,HY,17,73
m,11,HY,18,75
m,11,HY,19,77
m,11,HY,20,79
m,11,HY,21,81
m,11,HY,22,83
m,11,HY,23,85
m,11,HY,24,87
m,11,HY,25,89
m,11,HY,26,90
