Pohlaví,Věk,Kategorie,Body,T-skór
z,6,IN,0,40
z,6,IN,1,41
z,6,IN,2,43
z,6,IN,3,45
z,6,IN,4,48
z,6,IN,5,50
z,6,IN,6,52
z,6,IN,7,55
z,6,IN,8,57
z,6,IN,9,59
z,6,IN,10,62
z,6,IN,11,64
z,6,IN,12,66
z,6,IN,13,69
z,6,IN,14,71
z,6,IN,15,73
z,6,IN,16,76
z,6,IN,17,78
z,6,IN,18,80
z,6,IN,19,83
z,6,IN,20,85
z,6,IN,21,87
z,6,IN,22,90
z,6,IN,23,90
z,6,IN,24,90
z,6,IN,25,90
z,6,IN,26,90
z,6,IN,27,90
z,6,IN,28,90
z,6,IN,29,90
z,6,IN,30,90
z,6,IN,31,90
z,6,IN,32,90
z,6,IN,33,90
z,6,IN,34,90
z,6,IN,35,90
z,6,IN,36,90
z,6,IN,37,90
z,6,IN,38,90
z,6,IN,39,90
z,6,IN,40,90
z,7,IN,0,40
z,7,IN,1,41
z,7,IN,2,43
z,7,IN,3,45
z,7,IN,4,48
z,7,IN,5,50
z,7,IN,6,52
z,7,IN,7,55
z,7,IN,8,57
z,7,IN,9,59
z,7,IN,10,62
z,7,IN,11,64
z,7,IN,12,66
z,7,IN,13,69
z,7,IN,14,71
z,7,IN,15,73
z,7,IN,16,76
z,7,IN,17,78
z,7,IN,18,80
z,7,IN,19,83
z,7,IN,20,85
z,7,IN,21,87
z,7,IN,22,90
z,7,IN,23,90
z,7,IN,24,90
z,7,IN,25,90
z,7,IN,26,90
z,7,IN,27,90
z,7,IN,28,90
z,7,IN,29,90
z,7,IN,30,90
z,7,IN,31,90
z,7,IN,32,90
z,7,IN,33,90
z,7,IN,34,90
z,7,IN,35,90
z,7,IN,36,90
z,7,IN,37,90
z,7,IN,38,90
z,7,IN,39,90
z,7,IN,40,90
z,8,IN,0,40
z,8,IN,1,41
z,8,IN,2,43
z,8,IN,3,45
z,8,IN,4,47
z,8,IN,5,49
z,8,IN,6,51
z,8,IN,7,53
z,8,IN,8,55
z,8,IN,9,57
z,8,IN,10,59
z,8,IN,11,61
z,8,IN,12,63
z,8,IN,13,65
z,8,IN,14,67
z,8,IN,15,69
z,8,IN,16,71
z,8,IN,17,73
z,8,IN,18,75
z,8,IN,19,77
z,8,IN,20,79
z,8,IN,21,81
z,8,IN,22,83
z,8,IN,23,85
z,8,IN,24,87
z,8,IN,25,89
z,8,IN,26,90
z,8,IN,27,90
z,8,IN,28,90
z,8,IN,29,90
z,8,IN,30,90
z,8,IN,31,90
z,8,IN,32,90
z,8,IN,33,90
z,8,IN,34,90
z,8,IN,35,90
z,8,IN,36,90
z,8,IN,37,90
z,8,IN,38,90
z,8,IN,39,90
z,8,IN,40,90
z,9,IN,0,40
z,9,IN,1,40
z,9,IN,2,43
z,9,IN,3,45
z,9,IN,4,47
z,9,IN,5,49
z,9,IN,6,51
z,9,IN,7,53
z,9,IN,8,55
z,9,IN,9,57
z,9,IN,10,59
z,9,IN,11,61
z,9,IN,12,63
z,9,IN,13,65
z,9,IN,14,67
z,9,IN,15,69
z,9,IN,16,71
z,9,IN,17,73
z,9,IN,18,75
z,9,IN,19,77
z,9,IN,20,79
z,9,IN,21,82
z,9,IN,22,84
z,9,IN,23,86
z,9,IN,24,88
z,9,IN,25,90
z,9,IN,26,90
z,9,IN,27,90
z,9,IN,28,90
z,9,IN,29,90
z,9,IN,30,90
z,9,IN,31,90
z,9,IN,32,90
z,9,IN,33,90
z,9,IN,34,90
z,9,IN,35,90
z,9,IN,36,90
z,9,IN,37,90
z,9,IN,38,90
z,9,IN,39,90
z,9,IN,40,90
z,10,IN,0,40
z,10,IN,1,41
z,10,IN,2,43
z,10,IN,3,45
z,10,IN,4,47
z,10,IN,5,49
z,10,IN,6,51
z,10,IN,7,53
z,10,IN,8,55
z,10,IN,9,57
z,10,IN,10,59
z,10,IN,11,61
z,10,IN,12,63
z,10,IN,13,66
z,10,IN,14,68
z,10,IN,15,70
z,10,IN,16,72
z,10,IN,17,74
z,10,IN,18,76
z,10,IN,19,78
z,10,IN,20,80
z,10,IN,21,82
z,10,IN,22,84
z,10,IN,23,86
z,10,IN,24,88
z,10,IN,25,90
z,10,IN,26,90
z,10,IN,27,90
z,10,IN,28,90
z,10,IN,29,90
z,10,IN,30,90
z,10,IN,31,90
z,10,IN,32,90
z,10,IN,33,90
z,10,IN,34,90
z,10,IN,35,90
z,10,IN,36,90
z,10,IN,37,90
z,10,IN,38,90
z,10,IN,39,90
z,10,IN,40,90
z,11,IN,0,40
z,11,IN,1,40
z,11,IN,2,43
z,11,IN,3,45
z,11,IN,4,48
z,11,IN,5,50
z,11,IN,6,53
z,11,IN,7,55
z,11,IN,8,58
z,11,IN,9,60
z,11,IN,10,63
z,11,IN,11,65
z,11,IN,12,68
z,11,IN,13,70
z,11,IN,14,73
z,11,IN,15,75
z,11,IN,16,78
z,11,IN,17,80
z,11,IN,18,83
z,11,IN,19,85
z,11,IN,20,88
z,11,IN,21,90
z,11,IN,22,90
z,11,IN,23,90
z,11,IN,24,90
z,11,IN,25,90
z,11,IN,26,90
z,11,IN,27,90
z,11,IN,28,90
z,11,IN,29,90
z,11,IN,30,90
z,11,IN,31,90
z,11,IN,32,90
z,11,IN,33,90
z,11,IN,34,90
z,11,IN,35,90
z,11,IN,36,90
z,11,IN,37,90
z,11,IN,38,90
z,11,IN,39,90
z,11,IN,40,90
