Pohlaví,Věk,Kategorie,Body,T-skór
z,6,CD,0,45
z,6,CD,1,50
z,6,CD,2,55
z,6,CD,3,60
z,6,CD,4,65
z,6,CD,5,70
z,6,CD,6,76
z,6,CD,7,81
z,6,CD,8,86
z,6,CD,9,90
z,6,CD,10,90
z,6,CD,11,90
z,6,CD,12,90
z,6,CD,13,90
z,6,CD,14,90
z,6,CD,15,90
z,6,CD,16,90
z,6,CD,17,90
z,6,CD,18,90
z,6,CD,19,90
z,6,CD,20,90
z,6,CD,21,90
z,6,CD,22,90
z,6,CD,23,90
z,6,CD,24,90
z,6,CD,25,90
z,6,CD,26,90
z,6,CD,27,90
z,6,CD,28,90
z,6,CD,29,90
z,6,CD,30,90
z,6,CD,31,90
z,6,CD,32,90
z,6,CD,33,90
z,6,CD,34,90
z,6,CD,35,90
z,6,CD,36,90
z,6,CD,37,90
z,6,CD,38,90
z,6,CD,39,90
z,6,CD,40,90
z,7,CD,0,46
z,7,CD,1,51
z,7,CD,2,57
z,7,CD,3,62
z,7,CD,4,67
z,7,CD,5,73
z,7,CD,6,78
z,7,CD,7,84
z,7,CD,8,89
z,7,CD,9,90
z,7,CD,10,90
z,7,CD,11,90
z,7,CD,12,90
z,7,CD,13,90
z,7,CD,14,90
z,7,CD,15,90
z,7,CD,16,90
z,7,CD,17,90
z,7,CD,18,90
z,7,CD,19,90
z,7,CD,20,90
z,7,CD,21,90
z,7,CD,22,90
z,7,CD,23,90
z,7,CD,24,90
z,7,CD,25,90
z,7,CD,26,90
z,7,CD,27,90
z,7,CD,28,90
z,7,CD,29,90
z,7,CD,30,90
z,7,CD,31,90
z,7,CD,32,90
z,7,CD,33,90
z,7,CD,34,90
z,7,CD,35,90
z,7,CD,36,90
z,7,CD,37,90
z,7,CD,38,90
z,7,CD,39,90
z,7,CD,40,90
z,8,CD,0,43
z,8,CD,1,51
z,8,CD,2,58
z,8,CD,3,66
z,8,CD,4,73
z,8,CD,5,81
z,8,CD,6,88
z,8,CD,7,90
z,8,CD,8,90
z,8,CD,9,90
z,8,CD,10,90
z,8,CD,11,90
z,8,CD,12,90
z,8,CD,13,90
z,8,CD,14,90
z,8,CD,15,90
z,8,CD,16,90
z,8,CD,17,90
z,8,CD,18,90
z,8,CD,19,90
z,8,CD,20,90
z,8,CD,21,90
z,8,CD,22,90
z,8,CD,23,90
z,8,CD,24,90
z,8,CD,25,90
z,8,CD,26,90
z,8,CD,27,90
z,8,CD,28,90
z,8,CD,29,90
z,8,CD,30,90
z,8,CD,31,90
z,8,CD,32,90
z,8,CD,33,90
z,8,CD,34,90
z,8,CD,35,90
z,8,CD,36,90
z,8,CD,37,90
z,8,CD,38,90
z,8,CD,39,90
z,8,CD,40,90
z,9,CD,0,43
z,9,CD,1,51
z,9,CD,2,60
z,9,CD,3,69
z,9,CD,4,78
z,9,CD,5,87
z,9,CD,6,90
z,9,CD,7,90
z,9,CD,8,90
z,9,CD,9,90
z,9,CD,10,90
z,9,CD,11,90
z,9,CD,12,90
z,9,CD,13,90
z,9,CD,14,90
z,9,CD,15,90
z,9,CD,16,90
z,9,CD,17,90
z,9,CD,18,90
z,9,CD,19,90
z,9,CD,20,90
z,9,CD,21,90
z,9,CD,22,90
z,9,CD,23,90
z,9,CD,24,90
z,9,CD,25,90
z,9,CD,26,90
z,9,CD,27,90
z,9,CD,28,90
z,9,CD,29,90
z,9,CD,30,90
z,9,CD,31,90
z,9,CD,32,90
z,9,CD,33,90
z,9,CD,34,90
z,9,CD,35,90
z,9,CD,36,90
z,9,CD,37,90
z,9,CD,38,90
z,9,CD,39,90
z,9,CD,40,90
z,10,CD,0,44
z,10,CD,1,52
z,10,CD,2,60
z,10,CD,3,68
z,10,CD,4,75
z,10,CD,5,83
z,10,CD,6,90
z,10,CD,7,90
z,10,CD,8,90
z,10,CD,9,90
z,10,CD,10,90
z,10,CD,11,90
z,10,CD,12,90
z,10,CD,13,90
z,10,CD,14,90
z,10,CD,15,90
z,10,CD,16,90
z,10,CD,17,90
z,10,CD,18,90
z,10,CD,19,90
z,10,CD,20,90
z,10,CD,21,90
z,10,CD,22,90
z,10,CD,23,90
z,10,CD,24,90
z,10,CD,25,90
z,10,CD,26,90
z,10,CD,27,90
z,10,CD,28,90
z,10,CD,29,90
z,10,CD,30,90
z,10,CD,31,90
z,10,CD,32,90
z,10,CD,33,90
z,10,CD,34,90
z,10,CD,35,90
z,10,CD,36,90
z,10,CD,37,90
z,10,CD,38,90
z,10,CD,39,90
z,10,CD,40,90
z,11,CD,0,44
z,11,CD,1,51
z,11,CD,2,58
z,11,CD,3,66
z,11,CD,4,73
z,11,CD,5,80
z,11,CD,6,88
z,11,CD,7,90
z,11,CD,8,90
z,11,CD,9,90
z,11,CD,10,90
z,11,CD,11,90
z,11,CD,12,90
z,11,CD,13,90
z,11,CD,14,90
z,11,CD,15,90
z,11,CD,16,90
z,11,CD,17,90
z,11,CD,18,90
z,11,CD,19,90
z,11,CD,20,90
z,11,CD,21,90
z,11,CD,22,90
z,11,CD,23,90
z,11,CD,24,90
z,11,CD,25,90
z,11,CD,26,90
z,11,CD,27,90
z,11,CD,28,90
z,11,CD,29,90
z,11,CD,30,90
z,11,CD,31,90
z,11,CD,32,90
z,11,CD,33,90
z,11,CD,34,90
z,11,CD,35,90
z,11,CD,36,90
z,11,CD,37,90
z,11,CD,38,90
z,11,CD,39,90
z,11,CD,40,90
