Pohlaví,Věk,Kategorie,Body,T-skór
M,7,F,0,2
M,8,F,0,2
M,9,F,0,2
M,10,F,0,2
M,11,F,0,2
M,12,F,0,2
M,7,F,1,5
M,8,F,1,5
M,9,F,1,5
M,10,F,1,5
M,11,F,1,5
M,12,F,1,5
M,7,F,2,9
M,8,F,2,9
M,9,F,2,9
M,10,F,2,9
M,11,F,2,9
M,12,F,2,9
M,7,F,3,14
M,8,F,3,14
M,9,F,3,14
M,10,F,3,14
M,11,F,3,14
M,12,F,3,14
M,7,F,4,20
M,8,F,4,20
M,9,F,4,20
M,10,F,4,20
M,11,F,4,20
M,12,F,4,20
M,7,F,5,25
M,8,F,5,25
M,9,F,5,25
M,10,F,5,25
M,11,F,5,25
M,12,F,5,25
M,7,F,6,32
M,8,F,6,32
M,9,F,6,32
M,10,F,6,32
M,11,F,6,32
M,12,F,6,32
M,7,F,7,40
M,8,F,7,40
M,9,F,7,40
M,10,F,7,40
M,11,F,7,40
M,12,F,7,40
M,7,F,8,45
M,8,F,8,45
M,9,F,8,45
M,10,F,8,45
M,11,F,8,45
M,12,F,8,45
M,7,F,9,50
M,8,F,9,50
M,9,F,9,50
M,10,F,9,50
M,11,F,9,50
M,12,F,9,50
M,7,F,10,56
M,8,F,10,56
M,9,F,10,56
M,10,F,10,56
M,11,F,10,56
M,12,F,10,56
M,7,F,11,62
M,8,F,11,62
M,9,F,11,62
M,10,F,11,62
M,11,F,11,62
M,12,F,11,62
M,7,F,12,66
M,8,F,12,66
M,9,F,12,66
M,10,F,12,66
M,11,F,12,66
M,12,F,12,66
M,7,F,13,68
M,8,F,13,68
M,9,F,13,68
M,10,F,13,68
M,11,F,13,68
M,12,F,13,68
M,7,F,14,75
M,8,F,14,75
M,9,F,14,75
M,10,F,14,75
M,11,F,14,75
M,12,F,14,75
M,7,F,15,77
M,8,F,15,77
M,9,F,15,77
M,10,F,15,77
M,11,F,15,77
M,12,F,15,77
M,7,F,16,80
M,8,F,16,80
M,9,F,16,80
M,10,F,16,80
M,11,F,16,80
M,12,F,16,80
M,7,F,17,84
M,8,F,17,84
M,9,F,17,84
M,10,F,17,84
M,11,F,17,84
M,12,F,17,84
M,7,F,18,87
M,8,F,18,87
M,9,F,18,87
M,10,F,18,87
M,11,F,18,87
M,12,F,18,87
M,7,F,19,90
M,8,F,19,90
M,9,F,19,90
M,10,F,19,90
M,11,F,19,90
M,12,F,19,90
M,7,F,20,91
M,8,F,20,91
M,9,F,20,91
M,10,F,20,91
M,11,F,20,91
M,12,F,20,91
M,7,F,21,92
M,8,F,21,92
M,9,F,21,92
M,10,F,21,92
M,11,F,21,92
M,12,F,21,92
M,7,F,22,93
M,8,F,22,93
M,9,F,22,93
M,10,F,22,93
M,11,F,22,93
M,12,F,22,93
M,7,F,23,94
M,8,F,23,94
M,9,F,23,94
M,10,F,23,94
M,11,F,23,94
M,12,F,23,94
M,7,F,24,95
M,8,F,24,95
M,9,F,24,95
M,10,F,24,95
M,11,F,24,95
M,12,F,24,95
M,7,F,25,95
M,8,F,25,95
M,9,F,25,95
M,10,F,25,95
M,11,F,25,95
M,12,F,25,95
M,7,F,26,97
M,8,F,26,97
M,9,F,26,97
M,10,F,26,97
M,11,F,26,97
M,12,F,26,97
M,7,F,27,97
M,8,F,27,97
M,9,F,27,97
M,10,F,27,97
M,11,F,27,97
M,12,F,27,97
M,7,F,28,98
M,8,F,28,98
M,9,F,28,98
M,10,F,28,98
M,11,F,28,98
M,12,F,28,98
M,7,F,29,98
M,8,F,29,98
M,9,F,29,98
M,10,F,29,98
M,11,F,29,98
M,12,F,29,98
M,7,F,30,98
M,8,F,30,98
M,9,F,30,98
M,10,F,30,98
M,11,F,30,98
M,12,F,30,98
M,7,F,31,98
M,8,F,31,98
M,9,F,31,98
M,10,F,31,98
M,11,F,31,98
M,12,F,31,98
M,7,F,32,98
M,8,F,32,98
M,9,F,32,98
M,10,F,32,98
M,11,F,32,98
M,12,F,32,98
M,7,F,33,99
M,8,F,33,99
M,9,F,33,99
M,10,F,33,99
M,11,F,33,99
M,12,F,33,99
M,7,F,34,99
M,8,F,34,99
M,9,F,34,99
M,10,F,34,99
M,11,F,34,99
M,12,F,34,99
M,7,F,35,99
M,8,F,35,99
M,9,F,35,99
M,10,F,35,99
M,11,F,35,99
M,12,F,35,99
M,7,F,36,99
M,8,F,36,99
M,9,F,36,99
M,10,F,36,99
M,11,F,36,99
M,12,F,36,99
M,7,F,37,99
M,8,F,37,99
M,9,F,37,99
M,10,F,37,99
M,11,F,37,99
M,12,F,37,99
M,7,F,38,99
M,8,F,38,99
M,9,F,38,99
M,10,F,38,99
M,11,F,38,99
M,12,F,38,99
M,7,F,39,99
M,8,F,39,99
M,9,F,39,99
M,10,F,39,99
M,11,F,39,99
M,12,F,39,99
M,7,F,40,99
M,8,F,40,99
M,9,F,40,99
M,10,F,40,99
M,11,F,40,99
M,12,F,40,99
M,7,F,41,99
M,8,F,41,99
M,9,F,41,99
M,10,F,41,99
M,11,F,41,99
M,12,F,41,99
M,7,F,42,99
M,8,F,42,99
M,9,F,42,99
M,10,F,42,99
M,11,F,42,99
M,12,F,42,99
M,7,F,43,99
M,8,F,43,99
M,9,F,43,99
M,10,F,43,99
M,11,F,43,99
M,12,F,43,99
M,7,F,44,99
M,8,F,44,99
M,9,F,44,99
M,10,F,44,99
M,11,F,44,99
M,12,F,44,99
