Pohlaví,Věk,Kategorie,Body,T-skór
z,6,HY,0,40
z,6,HY,1,40
z,6,HY,2,41
z,6,HY,3,43
z,6,HY,4,45
z,6,HY,5,46
z,6,HY,6,48
z,6,HY,7,50
z,6,HY,8,52
z,6,HY,9,54
z,6,HY,10,56
z,6,HY,11,57
z,6,HY,12,59
z,6,HY,13,61
z,6,HY,14,63
z,6,HY,15,65
z,6,HY,16,66
z,6,HY,17,68
z,6,HY,18,70
z,6,HY,19,72
z,6,HY,20,74
z,6,HY,21,76
z,6,HY,22,77
z,6,HY,23,79
z,6,HY,24,81
z,6,HY,25,83
z,6,HY,26,85
z,6,HY,27,87
z,6,HY,28,88
z,6,HY,29,90
z,6,HY,30,90
z,6,HY,31,90
z,6,HY,32,90
z,6,HY,33,90
z,6,HY,34,90
z,6,HY,35,90
z,6,HY,36,90
z,6,HY,37,90
z,6,HY,38,90
z,6,HY,39,90
z,6,HY,40,90
z,7,HY,0,40
z,7,HY,1,41
z,7,HY,2,42
z,7,HY,3,44
z,7,HY,4,46
z,7,HY,5,47
z,7,HY,6,49
z,7,HY,7,51
z,7,HY,8,53
z,7,HY,9,54
z,7,HY,10,56
z,7,HY,11,58
z,7,HY,12,59
z,7,HY,13,61
z,7,HY,14,63
z,7,HY,15,64
z,7,HY,16,66
z,7,HY,17,68
z,7,HY,18,69
z,7,HY,19,71
z,7,HY,20,73
z,7,HY,21,75
z,7,HY,22,76
z,7,HY,23,78
z,7,HY,24,80
z,7,HY,25,81
z,7,HY,26,83
z,7,HY,27,85
z,7,HY,28,86
z,7,HY,29,88
z,7,HY,30,90
z,7,HY,31,90
z,7,HY,32,90
z,7,HY,33,90
z,7,HY,34,90
z,7,HY,35,90
z,7,HY,36,90
z,7,HY,37,90
z,7,HY,38,90
z,7,HY,39,90
z,7,HY,40,90
z,8,HY,0,40
z,8,HY,1,40
z,8,HY,2,42
z,8,HY,3,44
z,8,HY,4,45
z,8,HY,5,47
z,8,HY,6,49
z,8,HY,7,50
z,8,HY,8,52
z,8,HY,9,54
z,8,HY,10,55
z,8,HY,11,57
z,8,HY,12,58
z,8,HY,13,60
z,8,HY,14,62
z,8,HY,15,63
z,8,HY,16,65
z,8,HY,17,67
z,8,HY,18,68
z,8,HY,19,70
z,8,HY,20,72
z,8,HY,21,73
z,8,HY,22,75
z,8,HY,23,77
z,8,HY,24,78
z,8,HY,25,80
z,8,HY,26,82
z,8,HY,27,83
z,8,HY,28,85
z,8,HY,29,87
z,8,HY,30,88
z,8,HY,31,90
z,8,HY,32,90
z,8,HY,33,90
z,8,HY,34,90
z,8,HY,35,90
z,8,HY,36,90
z,8,HY,37,90
z,8,HY,38,90
z,8,HY,39,90
z,8,HY,40,90
z,9,HY,0,40
z,9,HY,1,41
z,9,HY,2,43
z,9,HY,3,45
z,9,HY,4,46
z,9,HY,5,48
z,9,HY,6,50
z,9,HY,7,52
z,9,HY,8,53
z,9,HY,9,55
z,9,HY,10,57
z,9,HY,11,59
z,9,HY,12,60
z,9,HY,13,62
z,9,HY,14,64
z,9,HY,15,66
z,9,HY,16,68
z,9,HY,17,69
z,9,HY,18,71
z,9,HY,19,73
z,9,HY,20,75
z,9,HY,21,76
z,9,HY,22,78
z,9,HY,23,80
z,9,HY,24,82
z,9,HY,25,83
z,9,HY,26,85
z,9,HY,27,87
z,9,HY,28,89
z,9,HY,29,90
z,9,HY,30,90
z,9,HY,31,90
z,9,HY,32,90
z,9,HY,33,90
z,9,HY,34,90
z,9,HY,35,90
z,9,HY,36,90
z,9,HY,37,90
z,9,HY,38,90
z,9,HY,39,90
z,9,HY,40,90
z,10,HY,0,40
z,10,HY,1,42
z,10,HY,2,44
z,10,HY,3,47
z,10,HY,4,49
z,10,HY,5,51
z,10,HY,6,53
z,10,HY,7,55
z,10,HY,8,58
z,10,HY,9,60
z,10,HY,10,62
z,10,HY,11,64
z,10,HY,12,67
z,10,HY,13,69
z,10,HY,14,71
z,10,HY,15,73
z,10,HY,16,76
z,10,HY,17,78
z,10,HY,18,80
z,10,HY,19,82
z,10,HY,20,85
z,10,HY,21,87
z,10,HY,22,89
z,10,HY,23,90
z,10,HY,24,90
z,10,HY,25,90
z,10,HY,26,90
z,10,HY,27,90
z,10,HY,28,90
z,10,HY,29,90
z,10,HY,30,90
z,10,HY,31,90
z,10,HY,32,90
z,10,HY,33,90
z,10,HY,34,90
z,10,HY,35,90
z,10,HY,36,90
z,10,HY,37,90
z,10,HY,38,90
z,10,HY,39,90
z,10,HY,40,90
z,11,HY,0,41
z,11,HY,1,43
z,11,HY,2,45
z,11,HY,3,47
z,11,HY,4,49
z,11,HY,5,51
z,11,HY,6,53
z,11,HY,7,55
z,11,HY,8,58
z,11,HY,9,60
z,11,HY,10,62
z,11,HY,11,64
z,11,HY,12,66
z,11,HY,13,68
z,11,HY,14,70
z,11,HY,15,72
z,11,HY,16,74
z,11,HY,17,76
z,11,HY,18,78
z,11,HY,19,80
z,11,HY,20,83
z,11,HY,21,85
z,11,HY,22,87
z,11,HY,23,89
z,11,HY,24,90
z,11,HY,25,90
z,11,HY,26,90
z,11,HY,27,90
z,11,HY,28,90
z,11,HY,29,90
z,11,HY,30,90
z,11,HY,31,90
z,11,HY,32,90
z,11,HY,33,90
z,11,HY,34,90
z,11,HY,35,90
z,11,HY,36,90
z,11,HY,37,90
z,11,HY,38,90
z,11,HY,39,90
z,11,HY,40,90
