Pohlaví,Věk,Kategorie,Body,T-skór
z,12,EF,0,40
z,12,EF,1,40
z,12,EF,2,42
z,12,EF,3,44
z,12,EF,4,45
z,12,EF,5,47
z,12,EF,6,49
z,12,EF,7,51
z,12,EF,8,53
z,12,EF,9,55
z,12,EF,10,57
z,12,EF,11,59
z,12,EF,12,61
z,12,EF,13,63
z,12,EF,14,65
z,12,EF,15,67
z,12,EF,16,69
z,12,EF,17,71
z,12,EF,18,73
z,12,EF,19,75
z,12,EF,20,77
z,12,EF,21,79
z,12,EF,22,81
z,12,EF,23,83
z,12,EF,24,85
z,12,EF,25,87
z,12,EF,26,89
z,12,EF,27,90
z,13,EF,0,40
z,13,EF,1,40
z,13,EF,2,42
z,13,EF,3,44
z,13,EF,4,46
z,13,EF,5,48
z,13,EF,6,51
z,13,EF,7,53
z,13,EF,8,55
z,13,EF,9,57
z,13,EF,10,59
z,13,EF,11,62
z,13,EF,12,64
z,13,EF,13,66
z,13,EF,14,68
z,13,EF,15,70
z,13,EF,16,73
z,13,EF,17,75
z,13,EF,18,77
z,13,EF,19,79
z,13,EF,20,81
z,13,EF,21,83
z,13,EF,22,86
z,13,EF,23,88
z,13,EF,24,90
z,13,EF,25,90
z,13,EF,26,90
z,13,EF,27,90
z,13,EF,28,90
z,13,EF,29,90
z,13,EF,30,90
z,13,EF,31,90
z,13,EF,32,90
z,13,EF,33,90
z,13,EF,34,90
z,13,EF,35,90
z,13,EF,36,90
z,13,EF,37,90
z,13,EF,38,90
z,13,EF,39,90
z,13,EF,40,90
z,14,EF,0,40
z,14,EF,1,40
z,14,EF,2,42
z,14,EF,3,44
z,14,EF,4,46
z,14,EF,5,48
z,14,EF,6,50
z,14,EF,7,52
z,14,EF,8,54
z,14,EF,9,56
z,14,EF,10,58
z,14,EF,11,60
z,14,EF,12,61
z,14,EF,13,63
z,14,EF,14,65
z,14,EF,15,67
z,14,EF,16,69
z,14,EF,17,71
z,14,EF,18,73
z,14,EF,19,75
z,14,EF,20,77
z,14,EF,21,79
z,14,EF,22,81
z,14,EF,23,83
z,14,EF,24,85
z,14,EF,25,86
z,14,EF,26,88
z,14,EF,27,90
z,15,EF,0,40
z,15,EF,1,40
z,15,EF,2,42
z,15,EF,3,45
z,15,EF,4,47
z,15,EF,5,49
z,15,EF,6,51
z,15,EF,7,54
z,15,EF,8,56
z,15,EF,9,58
z,15,EF,10,60
z,15,EF,11,63
z,15,EF,12,65
z,15,EF,13,67
z,15,EF,14,69
z,15,EF,15,72
z,15,EF,16,74
z,15,EF,17,76
z,15,EF,18,79
z,15,EF,19,81
z,15,EF,20,83
z,15,EF,21,85
z,15,EF,22,88
z,15,EF,23,90
z,15,EF,24,90
z,15,EF,25,90
z,15,EF,26,90
z,15,EF,27,90
z,15,EF,28,90
z,15,EF,29,90
z,15,EF,30,90
z,15,EF,31,90
z,15,EF,32,90
z,15,EF,33,90
z,15,EF,34,90
z,15,EF,35,90
z,15,EF,36,90
z,15,EF,37,90
z,15,EF,38,90
z,15,EF,39,90
z,15,EF,40,90
z,16,EF,0,41
z,16,EF,1,42
z,16,EF,2,44
z,16,EF,3,46
z,16,EF,4,47
z,16,EF,5,49
z,16,EF,6,51
z,16,EF,7,52
z,16,EF,8,54
z,16,EF,9,56
z,16,EF,10,57
z,16,EF,11,59
z,16,EF,12,61
z,16,EF,13,62
z,16,EF,14,64
z,16,EF,15,66
z,16,EF,16,67
z,16,EF,17,69
z,16,EF,18,71
z,16,EF,19,73
z,16,EF,20,74
z,16,EF,21,76
z,16,EF,22,78
z,16,EF,23,79
z,16,EF,24,81
z,16,EF,25,83
z,16,EF,26,84
z,16,EF,27,86
z,16,EF,28,90
z,16,EF,29,90
z,16,EF,30,90
z,16,EF,31,90
z,16,EF,32,90
z,16,EF,33,90
z,16,EF,34,90
z,16,EF,35,90
z,16,EF,36,90
z,16,EF,37,90
z,16,EF,38,90
z,16,EF,39,90
z,16,EF,40,90
z,17,EF,0,40
z,17,EF,1,41
z,17,EF,2,43
z,17,EF,3,44
z,17,EF,4,46
z,17,EF,5,48
z,17,EF,6,49
z,17,EF,7,51
z,17,EF,8,52
z,17,EF,9,54
z,17,EF,10,56
z,17,EF,11,57
z,17,EF,12,59
z,17,EF,13,61
z,17,EF,14,62
z,17,EF,15,64
z,17,EF,16,66
z,17,EF,17,67
