Pohlaví,Věk,Kategorie,Body,T-skór
m,6,LP,0,40
m,6,LP,1,40
m,6,LP,2,42
m,6,LP,3,44
m,6,LP,4,46
m,6,LP,5,48
m,6,LP,6,50
m,6,LP,7,52
m,6,LP,8,54
m,6,LP,9,57
m,6,LP,10,59
m,6,LP,11,61
m,6,LP,12,63
m,6,LP,13,65
m,6,LP,14,67
m,6,LP,15,69
m,6,LP,16,71
m,6,LP,17,73
m,6,LP,18,75
m,6,LP,19,77
m,6,LP,20,79
m,6,LP,21,81
m,6,LP,22,83
m,6,LP,23,85
m,6,LP,24,87
m,6,LP,25,89
m,6,LP,26,90
m,6,LP,27,90
m,6,LP,28,90
m,6,LP,29,90
m,6,LP,30,90
m,6,LP,31,90
m,6,LP,32,90
m,6,LP,33,90
m,6,LP,34,90
m,6,LP,35,90
m,6,LP,36,90
m,6,LP,37,90
m,6,LP,38,90
m,6,LP,39,90
m,6,LP,40,90
m,7,LP,0,40
m,7,LP,1,40
m,7,LP,2,42
m,7,LP,3,45
m,7,LP,4,47
m,7,LP,5,49
m,7,LP,6,51
m,7,LP,7,54
m,7,LP,8,56
m,7,LP,9,58
m,7,LP,10,61
m,7,LP,11,63
m,7,LP,12,65
m,7,LP,13,67
m,7,LP,14,70
m,7,LP,15,72
m,7,LP,16,74
m,7,LP,17,77
m,7,LP,18,79
m,7,LP,19,81
m,7,LP,20,83
m,7,LP,21,86
m,7,LP,22,88
m,7,LP,23,90
m,7,LP,24,90
m,7,LP,25,90
m,7,LP,26,90
m,7,LP,27,90
m,7,LP,28,90
m,7,LP,29,90
m,7,LP,30,90
m,7,LP,31,90
m,7,LP,32,90
m,7,LP,33,90
m,7,LP,34,90
m,7,LP,35,90
m,7,LP,36,90
m,7,LP,37,90
m,7,LP,38,90
m,7,LP,39,90
m,7,LP,40,90
m,8,LP,0,40
m,8,LP,1,42
m,8,LP,2,44
m,8,LP,3,46
m,8,LP,4,49
m,8,LP,5,51
m,8,LP,6,53
m,8,LP,7,56
m,8,LP,8,58
m,8,LP,9,60
m,8,LP,10,63
m,8,LP,11,65
m,8,LP,12,68
m,8,LP,13,70
m,8,LP,14,72
m,8,LP,15,75
m,8,LP,16,77
m,8,LP,17,79
m,8,LP,18,82
m,8,LP,19,84
m,8,LP,20,86
m,8,LP,21,89
m,8,LP,22,90
m,8,LP,23,90
m,8,LP,24,90
m,8,LP,25,90
m,8,LP,26,90
m,8,LP,27,90
m,8,LP,28,90
m,8,LP,29,90
m,8,LP,30,90
m,8,LP,31,90
m,8,LP,32,90
m,8,LP,33,90
m,8,LP,34,90
m,8,LP,35,90
m,8,LP,36,90
m,8,LP,37,90
m,8,LP,38,90
m,8,LP,39,90
m,8,LP,40,90
m,9,LP,0,40
m,9,LP,1,42
m,9,LP,2,45
m,9,LP,3,47
m,9,LP,4,49
m,9,LP,5,52
m,9,LP,6,54
m,9,LP,7,57
m,9,LP,8,59
m,9,LP,9,61
m,9,LP,10,64
m,9,LP,11,66
m,9,LP,12,68
m,9,LP,13,71
m,9,LP,14,73
m,9,LP,15,75
m,9,LP,16,78
m,9,LP,17,80
m,9,LP,18,82
m,9,LP,19,85
m,9,LP,20,87
m,9,LP,21,89
m,9,LP,22,90
m,9,LP,23,90
m,9,LP,24,90
m,9,LP,25,90
m,9,LP,26,90
m,9,LP,27,90
m,9,LP,28,90
m,9,LP,29,90
m,9,LP,30,90
m,9,LP,31,90
m,9,LP,32,90
m,9,LP,33,90
m,9,LP,34,90
m,9,LP,35,90
m,9,LP,36,90
m,9,LP,37,90
m,9,LP,38,90
m,9,LP,39,90
m,9,LP,40,90
m,10,LP,0,40
m,10,LP,1,42
m,10,LP,2,45
m,10,LP,3,47
m,10,LP,4,50
m,10,LP,5,52
m,10,LP,6,55
m,10,LP,7,57
m,10,LP,8,60
m,10,LP,9,62
m,10,LP,10,64
m,10,LP,11,67
m,10,LP,12,69
m,10,LP,13,72
m,10,LP,14,74
m,10,LP,15,77
m,10,LP,16,79
m,10,LP,17,82
m,10,LP,18,84
m,10,LP,19,86
m,10,LP,20,89
m,10,LP,21,90
m,10,LP,22,90
m,10,LP,23,90
m,10,LP,24,90
m,10,LP,25,90
m,10,LP,26,90
m,10,LP,27,90
m,10,LP,28,90
m,10,LP,29,90
m,10,LP,30,90
m,10,LP,31,90
m,10,LP,32,90
m,10,LP,33,90
m,10,LP,34,90
m,10,LP,35,90
m,10,LP,36,90
m,10,LP,37,90
m,10,LP,38,90
m,10,LP,39,90
m,10,LP,40,90
m,11,LP,0,40
m,11,LP,1,42
m,11,LP,2,44
m,11,LP,3,47
m,11,LP,4,49
m,11,LP,5,51
m,11,LP,6,54
m,11,LP,7,56
m,11,LP,8,58
m,11,LP,9,60
m,11,LP,10,63
m,11,LP,11,65
m,11,LP,12,67
m,11,LP,13,70
m,11,LP,14,72
m,11,LP,15,74
m,11,LP,16,77
m,11,LP,17,79
m,11,LP,18,81
m,11,LP,19,84
m,11,LP,20,86
m,11,LP,21,88
m,11,LP,22,90
m,11,LP,23,90
m,11,LP,24,90
m,11,LP,25,90
m,11,LP,26,90
m,11,LP,27,90
m,11,LP,28,90
m,11,LP,29,90
m,11,LP,30,90
m,11,LP,31,90
m,11,LP,32,90
m,11,LP,33,90
m,11,LP,34,90
m,11,LP,35,90
m,11,LP,36,90
m,11,LP,37,90
m,11,LP,38,90
m,11,LP,39,90
m,11,LP,40,90
