Pohlaví,Věk,Kategorie,Body,T-skór
m,6,OD,0,41
m,6,OD,1,44
m,6,OD,2,48
m,6,OD,3,51
m,6,OD,4,54
m,6,OD,5,57
m,6,OD,6,60
m,6,OD,7,64
m,6,OD,8,67
m,6,OD,9,70
m,6,OD,10,73
m,6,OD,11,77
m,6,OD,12,80
m,6,OD,13,83
m,6,OD,14,86
m,6,OD,15,89
m,6,OD,16,90
m,6,OD,17,90
m,6,OD,18,90
m,6,OD,19,90
m,6,OD,20,90
m,6,OD,21,90
m,6,OD,22,90
m,6,OD,23,90
m,6,OD,24,90
m,6,OD,25,90
m,6,OD,26,90
m,6,OD,27,90
m,6,OD,28,90
m,6,OD,29,90
m,6,OD,30,90
m,6,OD,31,90
m,6,OD,32,90
m,6,OD,33,90
m,6,OD,34,90
m,6,OD,35,90
m,6,OD,36,90
m,6,OD,37,90
m,6,OD,38,90
m,6,OD,39,90
m,6,OD,40,90
m,7,OD,0,41
m,7,OD,1,44
m,7,OD,2,47
m,7,OD,3,50
m,7,OD,4,53
m,7,OD,5,55
m,7,OD,6,58
m,7,OD,7,61
m,7,OD,8,64
m,7,OD,9,67
m,7,OD,10,70
m,7,OD,11,73
m,7,OD,12,76
m,7,OD,13,79
m,7,OD,14,82
m,7,OD,15,84
m,7,OD,16,87
m,7,OD,17,90
m,7,OD,18,90
m,7,OD,19,90
m,7,OD,20,90
m,7,OD,21,90
m,7,OD,22,90
m,7,OD,23,90
m,7,OD,24,90
m,7,OD,25,90
m,7,OD,26,90
m,7,OD,27,90
m,7,OD,28,90
m,7,OD,29,90
m,7,OD,30,90
m,7,OD,31,90
m,7,OD,32,90
m,7,OD,33,90
m,7,OD,34,90
m,7,OD,35,90
m,7,OD,36,90
m,7,OD,37,90
m,7,OD,38,90
m,7,OD,39,90
m,7,OD,40,90
m,8,OD,0,41
m,8,OD,1,44
m,8,OD,2,48
m,8,OD,3,51
m,8,OD,4,54
m,8,OD,5,58
m,8,OD,6,61
m,8,OD,7,65
m,8,OD,8,68
m,8,OD,9,71
m,8,OD,10,75
m,8,OD,11,78
m,8,OD,12,81
m,8,OD,13,85
m,8,OD,14,88
m,8,OD,15,90
m,8,OD,16,90
m,8,OD,17,90
m,8,OD,18,90
m,8,OD,19,90
m,8,OD,20,90
m,8,OD,21,90
m,8,OD,22,90
m,8,OD,23,90
m,8,OD,24,90
m,8,OD,25,90
m,8,OD,26,90
m,8,OD,27,90
m,8,OD,28,90
m,8,OD,29,90
m,8,OD,30,90
m,8,OD,31,90
m,8,OD,32,90
m,8,OD,33,90
m,8,OD,34,90
m,8,OD,35,90
m,8,OD,36,90
m,8,OD,37,90
m,8,OD,38,90
m,8,OD,39,90
m,8,OD,40,90
m,9,OD,0,41
m,9,OD,1,44
m,9,OD,2,47
m,9,OD,3,50
m,9,OD,4,53
m,9,OD,5,56
m,9,OD,6,59
m,9,OD,7,62
m,9,OD,8,65
m,9,OD,9,68
m,9,OD,10,71
m,9,OD,11,74
m,9,OD,12,77
m,9,OD,13,80
m,9,OD,14,83
m,9,OD,15,86
m,9,OD,16,89
m,9,OD,17,90
m,9,OD,18,90
m,9,OD,19,90
m,9,OD,20,90
m,9,OD,21,90
m,9,OD,22,90
m,9,OD,23,90
m,9,OD,24,90
m,9,OD,25,90
m,9,OD,26,90
m,9,OD,27,90
m,9,OD,28,90
m,9,OD,29,90
m,9,OD,30,90
m,9,OD,31,90
m,9,OD,32,90
m,9,OD,33,90
m,9,OD,34,90
m,9,OD,35,90
m,9,OD,36,90
m,9,OD,37,90
m,9,OD,38,90
m,9,OD,39,90
m,9,OD,40,90
m,10,OD,0,41
m,10,OD,1,45
m,10,OD,2,48
m,10,OD,3,51
m,10,OD,4,55
m,10,OD,5,58
m,10,OD,6,61
m,10,OD,7,65
m,10,OD,8,68
m,10,OD,9,71
m,10,OD,10,75
m,10,OD,11,78
m,10,OD,12,81
m,10,OD,13,85
m,10,OD,14,88
m,10,OD,15,90
m,10,OD,16,90
m,10,OD,17,90
m,10,OD,18,90
m,10,OD,19,90
m,10,OD,20,90
m,10,OD,21,90
m,10,OD,22,90
m,10,OD,23,90
m,10,OD,24,90
m,10,OD,25,90
m,10,OD,26,90
m,10,OD,27,90
m,10,OD,28,90
m,10,OD,29,90
m,10,OD,30,90
m,10,OD,31,90
m,10,OD,32,90
m,10,OD,33,90
m,10,OD,34,90
m,10,OD,35,90
m,10,OD,36,90
m,10,OD,37,90
m,10,OD,38,90
m,10,OD,39,90
m,10,OD,40,90
m,11,OD,0,40
m,11,OD,1,43
m,11,OD,2,46
m,11,OD,3,49
m,11,OD,4,52
m,11,OD,5,55
m,11,OD,6,59
m,11,OD,7,62
m,11,OD,8,65
m,11,OD,9,68
m,11,OD,10,71
m,11,OD,11,75
m,11,OD,12,78
m,11,OD,13,81
m,11,OD,14,84
m,11,OD,15,87
m,11,OD,16,90
m,11,OD,17,90
m,11,OD,18,90
m,11,OD,19,90
m,11,OD,20,90
m,11,OD,21,90
m,11,OD,22,90
m,11,OD,23,90
m,11,OD,24,90
m,11,OD,25,90
m,11,OD,26,90
m,11,OD,27,90
m,11,OD,28,90
m,11,OD,29,90
m,11,OD,30,90
m,11,OD,31,90
m,11,OD,32,90
m,11,OD,33,90
m,11,OD,34,90
m,11,OD,35,90
m,11,OD,36,90
m,11,OD,37,90
m,11,OD,38,90
m,11,OD,39,90
m,11,OD,40,90
