Pohlaví,Věk,Kategorie,Body,T-skór
z,12,AG,0,43
z,12,AG,1,47
z,12,AG,2,50
z,12,AG,3,54
z,12,AG,4,57
z,12,AG,5,61
z,12,AG,6,64
z,12,AG,7,68
z,12,AG,8,71
z,12,AG,9,75
z,12,AG,10,78
z,12,AG,11,82
z,12,AG,12,85
z,12,AG,13,89
z,12,AG,14,90
z,12,AG,15,90
z,12,AG,16,90
z,12,AG,17,90
z,12,AG,18,90
z,12,AG,19,90
z,12,AG,20,90
z,12,AG,21,90
z,12,AG,22,90
z,12,AG,23,90
z,12,AG,24,90
z,12,AG,25,90
z,12,AG,26,90
z,12,AG,27,90
z,12,AG,28,90
z,12,AG,29,90
z,12,AG,30,90
z,12,AG,31,90
z,12,AG,32,90
z,12,AG,33,90
z,12,AG,34,90
z,12,AG,35,90
z,12,AG,36,90
z,12,AG,37,90
z,12,AG,38,90
z,12,AG,39,90
z,12,AG,40,90
z,13,AG,0,44
z,13,AG,1,48
z,13,AG,2,53
z,13,AG,3,57
z,13,AG,4,61
z,13,AG,5,66
z,13,AG,6,70
z,13,AG,7,74
z,13,AG,8,79
z,13,AG,9,83
z,13,AG,10,88
z,13,AG,11,90
z,13,AG,12,90
z,13,AG,13,90
z,13,AG,14,90
z,13,AG,15,90
z,13,AG,16,90
z,13,AG,17,90
z,13,AG,18,90
z,13,AG,19,90
z,13,AG,20,90
z,13,AG,21,90
z,13,AG,22,90
z,13,AG,23,90
z,13,AG,24,90
z,13,AG,25,90
z,13,AG,26,90
z,13,AG,27,90
z,13,AG,28,90
z,13,AG,29,90
z,13,AG,30,90
z,13,AG,31,90
z,13,AG,32,90
z,13,AG,33,90
z,13,AG,34,90
z,13,AG,35,90
z,13,AG,36,90
z,13,AG,37,90
z,13,AG,38,90
z,13,AG,39,90
z,13,AG,40,90
z,14,AG,0,43
z,14,AG,1,47
z,14,AG,2,51
z,14,AG,3,54
z,14,AG,4,58
z,14,AG,5,61
z,14,AG,6,65
z,14,AG,7,69
z,14,AG,8,72
z,14,AG,9,76
z,14,AG,10,79
z,14,AG,11,83
z,14,AG,12,87
z,14,AG,13,90
z,14,AG,14,90
z,14,AG,15,90
z,14,AG,16,90
z,14,AG,17,90
z,14,AG,18,90
z,14,AG,19,90
z,14,AG,20,90
z,14,AG,21,90
z,14,AG,22,90
z,14,AG,23,90
z,14,AG,24,90
z,14,AG,25,90
z,14,AG,26,90
z,14,AG,27,90
z,14,AG,28,90
z,14,AG,29,90
z,14,AG,30,90
z,14,AG,31,90
z,14,AG,32,90
z,14,AG,33,90
z,14,AG,34,90
z,14,AG,35,90
z,14,AG,36,90
z,14,AG,37,90
z,14,AG,38,90
z,14,AG,39,90
z,14,AG,40,90
z,15,AG,0,44
z,15,AG,1,48
z,15,AG,2,52
z,15,AG,3,56
z,15,AG,4,59
z,15,AG,5,63
z,15,AG,6,67
z,15,AG,7,71
z,15,AG,8,75
z,15,AG,9,78
z,15,AG,10,82
z,15,AG,11,86
z,15,AG,12,90
z,15,AG,13,90
z,15,AG,14,90
z,15,AG,15,90
z,15,AG,16,90
z,15,AG,17,90
z,15,AG,18,90
z,15,AG,19,90
z,15,AG,20,90
z,15,AG,21,90
z,15,AG,22,90
z,15,AG,23,90
z,15,AG,24,90
z,15,AG,25,90
z,15,AG,26,90
z,15,AG,27,90
z,15,AG,28,90
z,15,AG,29,90
z,15,AG,30,90
z,15,AG,31,90
z,15,AG,32,90
z,15,AG,33,90
z,15,AG,34,90
z,15,AG,35,90
z,15,AG,36,90
z,15,AG,37,90
z,15,AG,38,90
z,15,AG,39,90
z,15,AG,40,90
z,16,AG,0,44
z,16,AG,1,47
z,16,AG,2,51
z,16,AG,3,55
z,16,AG,4,58
z,16,AG,5,62
z,16,AG,6,66
z,16,AG,7,69
z,16,AG,8,73
z,16,AG,9,76
z,16,AG,10,80
z,16,AG,11,84
z,16,AG,12,87
z,16,AG,13,90
z,16,AG,14,90
z,16,AG,15,90
z,16,AG,16,90
z,16,AG,17,90
z,16,AG,18,90
z,16,AG,19,90
z,16,AG,20,90
z,16,AG,21,90
z,16,AG,22,90
z,16,AG,23,90
z,16,AG,24,90
z,16,AG,25,90
z,16,AG,26,90
z,16,AG,27,90
z,16,AG,28,90
z,16,AG,29,90
z,16,AG,30,90
z,16,AG,31,90
z,16,AG,32,90
z,16,AG,33,90
z,16,AG,34,90
z,16,AG,35,90
z,16,AG,36,90
z,16,AG,37,90
z,16,AG,38,90
z,16,AG,39,90
z,16,AG,40,90
z,17,AG,0,43
z,17,AG,1,46
z,17,AG,2,50
z,17,AG,3,54
z,17,AG,4,57
z,17,AG,5,61
z,17,AG,6,65
z,17,AG,7,68
z,17,AG,8,72
z,17,AG,9,75
z,17,AG,10,79
z,17,AG,11,83
z,17,AG,12,86
z,17,AG,13,90
z,17,AG,14,90
z,17,AG,15,90
z,17,AG,16,90
z,17,AG,17,90
z,17,AG,18,90
z,17,AG,19,90
z,17,AG,20,90
z,17,AG,21,90
z,17,AG,22,90
z,17,AG,23,90
z,17,AG,24,90
z,17,AG,25,90
z,17,AG,26,90
z,17,AG,27,90
z,17,AG,28,90
z,17,AG,29,90
z,17,AG,30,90
z,17,AG,31,90
z,17,AG,32,90
z,17,AG,33,90
z,17,AG,34,90
z,17,AG,35,90
z,17,AG,36,90
z,17,AG,37,90
z,17,AG,38,90
