Pohlaví,Věk,Kategorie,Body,T-skór
z,12,LP,0,40
z,12,LP,1,42
z,12,LP,2,45
z,12,LP,3,47
z,12,LP,4,50
z,12,LP,5,52
z,12,LP,6,55
z,12,LP,7,57
z,12,LP,8,60
z,12,LP,9,62
z,12,LP,10,65
z,12,LP,11,68
z,12,LP,12,70
z,12,LP,13,73
z,12,LP,14,75
z,12,LP,15,78
z,12,LP,16,80
z,12,LP,17,83
z,12,LP,18,85
z,12,LP,19,88
z,12,LP,20,90
z,12,LP,21,90
z,12,LP,22,90
z,12,LP,23,90
z,12,LP,24,90
z,12,LP,25,90
z,12,LP,26,90
z,12,LP,27,90
z,12,LP,28,90
z,12,LP,29,90
z,12,LP,30,90
z,12,LP,31,90
z,12,LP,32,90
z,12,LP,33,90
z,12,LP,34,90
z,12,LP,35,90
z,12,LP,36,90
z,12,LP,37,90
z,12,LP,38,90
z,12,LP,39,90
z,12,LP,40,90
z,13,LP,0,40
z,13,LP,1,42
z,13,LP,2,45
z,13,LP,3,48
z,13,LP,4,51
z,13,LP,5,54
z,13,LP,6,57
z,13,LP,7,59
z,13,LP,8,62
z,13,LP,9,65
z,13,LP,10,68
z,13,LP,11,71
z,13,LP,12,73
z,13,LP,13,76
z,13,LP,14,79
z,13,LP,15,82
z,13,LP,16,85
z,13,LP,17,88
z,13,LP,18,90
z,13,LP,19,90
z,13,LP,20,90
z,13,LP,21,90
z,13,LP,22,90
z,13,LP,23,90
z,13,LP,24,90
z,13,LP,25,90
z,13,LP,26,90
z,13,LP,27,90
z,13,LP,28,90
z,13,LP,29,90
z,13,LP,30,90
z,13,LP,31,90
z,13,LP,32,90
z,13,LP,33,90
z,13,LP,34,90
z,13,LP,35,90
z,13,LP,36,90
z,13,LP,37,90
z,13,LP,38,90
z,13,LP,39,90
z,13,LP,40,90
z,14,LP,0,40
z,14,LP,1,42
z,14,LP,2,45
z,14,LP,3,48
z,14,LP,4,50
z,14,LP,5,53
z,14,LP,6,56
z,14,LP,7,58
z,14,LP,8,61
z,14,LP,9,64
z,14,LP,10,66
z,14,LP,11,69
z,14,LP,12,72
z,14,LP,13,74
z,14,LP,14,77
z,14,LP,15,80
z,14,LP,16,83
z,14,LP,17,85
z,14,LP,18,88
z,14,LP,19,90
z,14,LP,20,90
z,14,LP,21,90
z,14,LP,22,90
z,14,LP,23,90
z,14,LP,24,90
z,14,LP,25,90
z,14,LP,26,90
z,14,LP,27,90
z,14,LP,28,90
z,14,LP,29,90
z,14,LP,30,90
z,14,LP,31,90
z,14,LP,32,90
z,14,LP,33,90
z,14,LP,34,90
z,14,LP,35,90
z,14,LP,36,90
z,14,LP,37,90
z,14,LP,38,90
z,14,LP,39,90
z,14,LP,40,90
z,15,LP,0,41
z,15,LP,1,43
z,15,LP,2,46
z,15,LP,3,48
z,15,LP,4,51
z,15,LP,5,53
z,15,LP,6,55
z,15,LP,7,58
z,15,LP,8,60
z,15,LP,9,63
z,15,LP,10,65
z,15,LP,11,68
z,15,LP,12,70
z,15,LP,13,73
z,15,LP,14,75
z,15,LP,15,78
z,15,LP,16,80
z,15,LP,17,83
z,15,LP,18,85
z,15,LP,19,88
z,15,LP,20,90
z,15,LP,21,90
z,15,LP,22,90
z,15,LP,23,90
z,15,LP,24,90
z,15,LP,25,90
z,15,LP,26,90
z,15,LP,27,90
z,15,LP,28,90
z,15,LP,29,90
z,15,LP,30,90
z,15,LP,31,90
z,15,LP,32,90
z,15,LP,33,90
z,15,LP,34,90
z,15,LP,35,90
z,15,LP,36,90
z,15,LP,37,90
z,15,LP,38,90
z,15,LP,39,90
z,15,LP,40,90
z,16,LP,0,40
z,16,LP,1,43
z,16,LP,2,45
z,16,LP,3,47
z,16,LP,4,50
z,16,LP,5,52
z,16,LP,6,55
z,16,LP,7,57
z,16,LP,8,59
z,16,LP,9,62
z,16,LP,10,64
z,16,LP,11,66
z,16,LP,12,69
z,16,LP,13,71
z,16,LP,14,74
z,16,LP,15,76
z,16,LP,16,78
z,16,LP,17,81
z,16,LP,18,83
z,16,LP,19,85
z,16,LP,20,88
z,16,LP,21,90
z,16,LP,22,90
z,16,LP,23,90
z,16,LP,24,90
z,16,LP,25,90
z,16,LP,26,90
z,16,LP,27,90
z,16,LP,28,90
z,16,LP,29,90
z,16,LP,30,90
z,16,LP,31,90
z,16,LP,32,90
z,16,LP,33,90
z,16,LP,34,90
z,16,LP,35,90
z,16,LP,36,90
z,16,LP,37,90
z,16,LP,38,90
z,16,LP,39,90
z,16,LP,40,90
z,17,LP,0,40
z,17,LP,1,42
z,17,LP,2,45
z,17,LP,3,47
z,17,LP,4,49
z,17,LP,5,52
z,17,LP,6,54
z,17,LP,7,56
z,17,LP,8,59
z,17,LP,9,61
z,17,LP,10,63
z,17,LP,11,66
z,17,LP,12,68
z,17,LP,13,70
z,17,LP,14,73
z,17,LP,15,75
z,17,LP,16,77
z,17,LP,17,80
z,17,LP,18,82
z,17,LP,19,84
z,17,LP,20,87
z,17,LP,21,89
z,17,LP,22,90
z,17,LP,23,90
z,17,LP,24,90
z,17,LP,25,90
z,17,LP,26,90
z,17,LP,27,90
z,17,LP,28,90
z,17,LP,29,90
z,17,LP,30,90
z,17,LP,31,90
z,17,LP,32,90
z,17,LP,33,90
z,17,LP,34,90
z,17,LP,35,90
z,17,LP,36,90
z,17,LP,37,90
z,17,LP,38,90
z,17,LP,39,90
z,17,LP,40,90
z,18,LP,0,40
z,18,LP,1,42
z,18,LP,2,45
z,18,LP,3,47
z,18,LP,4,49
z,18,LP,5,52
z,18,LP,6,54
z,18,LP,7,56
z,18,LP,8,59
z,18,LP,9,61
z,18,LP,10,63
z,18,LP,11,66
z,18,LP,12,68
z,18,LP,13,70
z,18,LP,14,73
z,18,LP,15,75
z,18,LP,16,77
z,18,LP,17,80
z,18,LP,18,82
z,18,LP,19,84
z,18,LP,20,87
z,18,LP,21,89
z,18,LP,22,90
z,18,LP,23,90
z,18,LP,24,90
z,18,LP,25,90
z,18,LP,26,90
z,18,LP,27,90
z,18,LP,28,90
z,18,LP,29,90
z,18,LP,30,90
z,18,LP,31,90
z,18,LP,32,90
z,18,LP,33,90
z,18,LP,34,90
z,18,LP,35,90
z,18,LP,36,90
z,18,LP,37,90
z,18,LP,38,90
z,18,LP,39,90
z,18,LP,40,90
