Pohlaví,Věk,Kategorie,Body,T-skór
Z,7,A,0,21
Z,8,A,0,21
Z,9,A,0,21
Z,10,A,0,21
Z,11,A,0,21
Z,12,A,0,21
Z,7,A,1,48
Z,8,A,1,48
Z,9,A,1,48
Z,10,A,1,48
Z,11,A,1,48
Z,12,A,1,48
Z,7,A,2,69
Z,8,A,2,69
Z,9,A,2,69
Z,10,A,2,69
Z,11,A,2,69
Z,12,A,2,69
Z,7,A,3,82
Z,8,A,3,82
Z,9,A,3,82
Z,10,A,3,82
Z,11,A,3,82
Z,12,A,3,82
Z,7,A,4,88
Z,8,A,4,88
Z,9,A,4,88
Z,10,A,4,88
Z,11,A,4,88
Z,12,A,4,88
Z,7,A,5,92
Z,8,A,5,92
Z,9,A,5,92
Z,10,A,5,92
Z,11,A,5,92
Z,12,A,5,92
Z,7,A,6,96
Z,8,A,6,96
Z,9,A,6,96
Z,10,A,6,96
Z,11,A,6,96
Z,12,A,6,96
Z,7,A,7,98
Z,8,A,7,98
Z,9,A,7,98
Z,10,A,7,98
Z,11,A,7,98
Z,12,A,7,98
Z,7,A,8,98
Z,8,A,8,98
Z,9,A,8,98
Z,10,A,8,98
Z,11,A,8,98
Z,12,A,8,98
Z,7,A,9,99
Z,8,A,9,99
Z,9,A,9,99
Z,10,A,9,99
Z,11,A,9,99
Z,12,A,9,99
Z,7,A,10,99
Z,8,A,10,99
Z,9,A,10,99
Z,10,A,10,99
Z,11,A,10,99
Z,12,A,10,99
