Pohlaví,Věk,Kategorie,Body,T-skór
m,6,AN,0,40
m,6,AN,1,40
m,6,AN,2,41
m,6,AN,3,43
m,6,AN,4,46
m,6,AN,5,48
m,6,AN,6,51
m,6,AN,7,53
m,6,AN,8,55
m,6,AN,9,58
m,6,AN,10,60
m,6,AN,11,63
m,6,AN,12,65
m,6,AN,13,68
m,6,AN,14,70
m,6,AN,15,72
m,6,AN,16,75
m,6,AN,17,77
m,6,AN,18,80
m,6,AN,19,82
m,6,AN,20,85
m,6,AN,21,87
m,6,AN,22,89
m,6,AN,23,90
m,6,AN,24,90
m,6,AN,25,90
m,6,AN,26,90
m,6,AN,27,90
m,6,AN,28,90
m,6,AN,29,90
m,6,AN,30,90
m,6,AN,31,90
m,6,AN,32,90
m,6,AN,33,90
m,6,AN,34,90
m,6,AN,35,90
m,6,AN,36,90
m,6,AN,37,90
m,6,AN,38,90
m,6,AN,39,90
m,6,AN,40,90
m,7,AN,0,40
m,7,AN,1,40
m,7,AN,2,42
m,7,AN,3,44
m,7,AN,4,46
m,7,AN,5,48
m,7,AN,6,50
m,7,AN,7,52
m,7,AN,8,54
m,7,AN,9,56
m,7,AN,10,58
m,7,AN,11,59
m,7,AN,12,61
m,7,AN,13,63
m,7,AN,14,65
m,7,AN,15,67
m,7,AN,16,69
m,7,AN,17,71
m,7,AN,18,73
m,7,AN,19,75
m,7,AN,20,77
m,7,AN,21,79
m,7,AN,22,81
m,7,AN,23,83
m,7,AN,24,85
m,7,AN,25,87
m,7,AN,26,89
m,7,AN,27,90
m,7,AN,28,90
m,7,AN,29,90
m,7,AN,30,90
m,7,AN,31,90
m,7,AN,32,90
m,7,AN,33,90
m,7,AN,34,90
m,7,AN,35,90
m,7,AN,36,90
m,7,AN,37,90
m,7,AN,38,90
m,7,AN,39,90
m,7,AN,40,90
m,8,AN,0,40
m,8,AN,1,42
m,8,AN,2,43
m,8,AN,3,45
m,8,AN,4,47
m,8,AN,5,48
m,8,AN,6,50
m,8,AN,7,52
m,8,AN,8,53
m,8,AN,9,55
m,8,AN,10,56
m,8,AN,11,58
m,8,AN,12,60
m,8,AN,13,61
m,8,AN,14,63
m,8,AN,15,65
m,8,AN,16,66
m,8,AN,17,68
m,8,AN,18,69
m,8,AN,19,71
m,8,AN,20,73
m,8,AN,21,74
m,8,AN,22,76
m,8,AN,23,78
m,8,AN,24,79
m,8,AN,25,81
m,8,AN,26,82
m,8,AN,27,84
m,8,AN,28,86
m,8,AN,29,87
m,8,AN,30,89
m,8,AN,31,90
m,8,AN,32,90
m,8,AN,33,90
m,8,AN,34,90
m,8,AN,35,90
m,8,AN,36,90
m,8,AN,37,90
m,8,AN,38,90
m,8,AN,39,90
m,8,AN,40,90
m,9,AN,0,40
m,9,AN,1,40
m,9,AN,2,40
m,9,AN,3,42
m,9,AN,4,45
m,9,AN,5,47
m,9,AN,6,49
m,9,AN,7,52
m,9,AN,8,54
m,9,AN,9,56
m,9,AN,10,59
m,9,AN,11,61
m,9,AN,12,63
m,9,AN,13,66
m,9,AN,14,68
m,9,AN,15,70
m,9,AN,16,73
m,9,AN,17,75
m,9,AN,18,77
m,9,AN,19,79
m,9,AN,20,82
m,9,AN,21,84
m,9,AN,22,86
m,9,AN,23,89
m,9,AN,24,90
m,9,AN,25,90
m,9,AN,26,90
m,9,AN,27,90
m,9,AN,28,90
m,9,AN,29,90
m,9,AN,30,90
m,9,AN,31,90
m,9,AN,32,90
m,9,AN,33,90
m,9,AN,34,90
m,9,AN,35,90
m,9,AN,36,90
m,9,AN,37,90
m,9,AN,38,90
m,9,AN,39,90
m,9,AN,40,90
m,10,AN,0,40
m,10,AN,1,40
m,10,AN,2,41
m,10,AN,3,43
m,10,AN,4,45
m,10,AN,5,47
m,10,AN,6,49
m,10,AN,7,51
m,10,AN,8,53
m,10,AN,9,55
m,10,AN,10,57
m,10,AN,11,59
m,10,AN,12,62
m,10,AN,13,64
m,10,AN,14,66
m,10,AN,15,68
m,10,AN,16,70
m,10,AN,17,72
m,10,AN,18,74
m,10,AN,19,76
m,10,AN,20,78
m,10,AN,21,81
m,10,AN,22,83
m,10,AN,23,85
m,10,AN,24,87
m,10,AN,25,89
m,10,AN,26,90
m,10,AN,27,90
m,10,AN,28,90
m,10,AN,29,90
m,10,AN,30,90
m,10,AN,31,90
m,10,AN,32,90
m,10,AN,33,90
m,10,AN,34,90
m,10,AN,35,90
m,10,AN,36,90
m,10,AN,37,90
m,10,AN,38,90
m,10,AN,39,90
m,10,AN,40,90
m,11,AN,0,40
m,11,AN,1,40
m,11,AN,2,40
m,11,AN,3,41
m,11,AN,4,44
m,11,AN,5,46
m,11,AN,6,48
m,11,AN,7,50
m,11,AN,8,52
m,11,AN,9,54
m,11,AN,10,56
m,11,AN,11,58
m,11,AN,12,60
m,11,AN,13,62
m,11,AN,14,64
m,11,AN,15,66
m,11,AN,16,68
m,11,AN,17,71
m,11,AN,18,73
m,11,AN,19,75
m,11,AN,20,77
m,11,AN,21,79
m,11,AN,22,81
m,11,AN,23,83
m,11,AN,24,85
m,11,AN,25,87
m,11,AN,26,89
m,11,AN,27,90
m,11,AN,28,90
m,11,AN,29,90
m,11,AN,30,90
m,11,AN,31,90
m,11,AN,32,90
m,11,AN,33,90
m,11,AN,34,90
m,11,AN,35,90
m,11,AN,36,90
m,11,AN,37,90
m,11,AN,38,90
m,11,AN,39,90
m,11,AN,40,90
