Pohlaví,Věk,Kategorie,Body,T-skór
m,12,AG,0,43
m,12,AG,1,46
m,12,AG,2,49
m,12,AG,3,52
m,12,AG,4,55
m,12,AG,5,58
m,12,AG,6,61
m,12,AG,7,64
m,12,AG,8,67
m,12,AG,9,70
m,12,AG,10,74
m,12,AG,11,77
m,12,AG,12,80
m,12,AG,13,83
m,12,AG,14,86
m,12,AG,15,89
m,12,AG,16,90
m,12,AG,17,90
m,12,AG,18,90
m,12,AG,19,90
m,12,AG,20,90
m,12,AG,21,90
m,12,AG,22,90
m,12,AG,23,90
m,12,AG,24,90
m,12,AG,25,90
m,12,AG,26,90
m,12,AG,27,90
m,12,AG,28,90
m,12,AG,29,90
m,12,AG,30,90
m,12,AG,31,90
m,12,AG,32,90
m,12,AG,33,90
m,12,AG,34,90
m,12,AG,35,90
m,12,AG,36,90
m,12,AG,37,90
m,12,AG,38,90
m,12,AG,39,90
m,12,AG,40,90
m,13,AG,0,41
m,13,AG,1,44
m,13,AG,2,47
m,13,AG,3,50
m,13,AG,4,53
m,13,AG,5,55
m,13,AG,6,58
m,13,AG,7,61
m,13,AG,8,64
m,13,AG,9,66
m,13,AG,10,69
m,13,AG,11,72
m,13,AG,12,75
m,13,AG,13,78
m,13,AG,14,80
m,13,AG,15,83
m,13,AG,16,86
m,13,AG,17,89
m,13,AG,18,90
m,13,AG,19,90
m,13,AG,20,90
m,13,AG,21,90
m,13,AG,22,90
m,13,AG,23,90
m,13,AG,24,90
m,13,AG,25,90
m,13,AG,26,90
m,13,AG,27,90
m,13,AG,28,90
m,13,AG,29,90
m,13,AG,30,90
m,13,AG,31,90
m,13,AG,32,90
m,13,AG,33,90
m,13,AG,34,90
m,13,AG,35,90
m,13,AG,36,90
m,13,AG,37,90
m,13,AG,38,90
m,13,AG,39,90
m,13,AG,40,90
m,14,AG,0,41
m,14,AG,1,44
m,14,AG,2,47
m,14,AG,3,50
m,14,AG,4,53
m,14,AG,5,56
m,14,AG,6,59
m,14,AG,7,62
m,14,AG,8,65
m,14,AG,9,68
m,14,AG,10,71
m,14,AG,11,74
m,14,AG,12,78
m,14,AG,13,81
m,14,AG,14,84
m,14,AG,15,87
m,14,AG,16,90
m,14,AG,17,90
m,14,AG,18,90
m,14,AG,19,90
m,14,AG,20,90
m,14,AG,21,90
m,14,AG,22,90
m,14,AG,23,90
m,14,AG,24,90
m,14,AG,25,90
m,14,AG,26,90
m,14,AG,27,90
m,14,AG,28,90
m,14,AG,29,90
m,14,AG,30,90
m,14,AG,31,90
m,14,AG,32,90
m,14,AG,33,90
m,14,AG,34,90
m,14,AG,35,90
m,14,AG,36,90
m,14,AG,37,90
m,14,AG,38,90
m,14,AG,39,90
m,14,AG,40,90
m,15,AG,0,43
m,15,AG,1,45
m,15,AG,2,48
m,15,AG,3,51
m,15,AG,4,54
m,15,AG,5,56
m,15,AG,6,59
m,15,AG,7,62
m,15,AG,8,65
m,15,AG,9,67
m,15,AG,10,70
m,15,AG,11,73
m,15,AG,12,75
m,15,AG,13,78
m,15,AG,14,81
m,15,AG,15,84
m,15,AG,16,86
m,15,AG,17,89
m,15,AG,18,90
m,15,AG,19,90
m,15,AG,20,90
m,15,AG,21,90
m,15,AG,22,90
m,15,AG,23,90
m,15,AG,24,90
m,15,AG,25,90
m,15,AG,26,90
m,15,AG,27,90
m,15,AG,28,90
m,15,AG,29,90
m,15,AG,30,90
m,15,AG,31,90
m,15,AG,32,90
m,15,AG,33,90
m,15,AG,34,90
m,15,AG,35,90
m,15,AG,36,90
m,15,AG,37,90
m,15,AG,38,90
m,15,AG,39,90
m,15,AG,40,90
m,16,AG,0,43
m,16,AG,1,46
m,16,AG,2,49
m,16,AG,3,52
m,16,AG,4,55
m,16,AG,5,58
m,16,AG,6,60
m,16,AG,7,63
m,16,AG,8,66
m,16,AG,9,69
m,16,AG,10,72
m,16,AG,11,75
m,16,AG,12,78
m,16,AG,13,81
m,16,AG,14,84
m,16,AG,15,87
m,16,AG,16,90
m,16,AG,17,90
m,16,AG,18,90
m,16,AG,19,90
m,16,AG,20,90
m,16,AG,21,90
m,16,AG,22,90
m,16,AG,23,90
m,16,AG,24,90
m,16,AG,25,90
m,16,AG,26,90
m,16,AG,27,90
m,16,AG,28,90
m,16,AG,29,90
m,16,AG,30,90
m,16,AG,31,90
m,16,AG,32,90
m,16,AG,33,90
m,16,AG,34,90
m,16,AG,35,90
m,16,AG,36,90
m,16,AG,37,90
m,16,AG,38,90
m,16,AG,39,90
m,16,AG,40,90
m,17,AG,0,43
m,17,AG,1,45
m,17,AG,2,48
m,17,AG,3,50
m,17,AG,4,53
m,17,AG,5,56
m,17,AG,6,58
m,17,AG,7,61
m,17,AG,8,64
m,17,AG,9,66
m,17,AG,10,69
m,17,AG,11,72
m,17,AG,12,74
m,17,AG,13,77
m,17,AG,14,79
m,17,AG,15,82
m,17,AG,16,85
m,17,AG,17,87
m,17,AG,18,90
m,17,AG,19,90
m,17,AG,20,90
m,17,AG,21,90
m,17,AG,22,90
m,17,AG,23,90
m,17,AG,24,90
m,17,AG,25,90
m,17,AG,26,90
m,17,AG,27,90
m,17,AG,28,90
m,17,AG,29,90
m,17,AG,30,90
m,17,AG,31,90
m,17,AG,32,90
m,17,AG,33,90
m,17,AG,34,90
m,17,AG,35,90
m,17,AG,36,90
m,17,AG,37,90
m,17,AG,38,90
m,17,AG,39,90
m,17,AG,40,90
m,18,AG,0,43
m,18,AG,1,45
m,18,AG,2,48
m,18,AG,3,50
m,18,AG,4,53
m,18,AG,5,56
m,18,AG,6,58
m,18,AG,7,61
m,18,AG,8,64
m,18,AG,9,66
m,18,AG,10,69
m,18,AG,11,72
m,18,AG,12,74
m,18,AG,13,77
m,18,AG,14,79
m,18,AG,15,82
m,18,AG,16,85
m,18,AG,17,87
m,18,AG,18,90
m,18,AG,19,90
m,18,AG,20,90
m,18,AG,21,90
m,18,AG,22,90
m,18,AG,23,90
m,18,AG,24,90
m,18,AG,25,90
m,18,AG,26,90
m,18,AG,27,90
m,18,AG,28,90
m,18,AG,29,90
m,18,AG,30,90
m,18,AG,31,90
m,18,AG,32,90
m,18,AG,33,90
m,18,AG,34,90
m,18,AG,35,90
m,18,AG,36,90
m,18,AG,37,90
m,18,AG,38,90
m,18,AG,39,90
m,18,AG,40,90
